Date,Oil,Gas,Water,Well Count,Mbbl/month,Ten's of Thousand bbl /month (1E-4),MMcf/month,Ten's of Thousand mcf /month (1E-4)
1941-01-01,4684,0,16736,1,4.684,0.4684,0.0,0.0
1941-02-01,5458,0,19502,1,5.458,0.5458,0.0,0.0
1941-03-01,9496,0,33930,1,9.496,0.9496,0.0,0.0
1941-04-01,6336,0,22639,1,6.336,0.6336,0.0,0.0
1941-05-01,11153,0,39851,1,11.153,1.1153,0.0,0.0
1941-06-01,9772,0,34916,1,9.772,0.9772,0.0,0.0
1941-07-01,11630,0,41555,1,11.63,1.163,0.0,0.0
1941-08-01,12745,0,45539,1,12.745,1.2745,0.0,0.0
1941-09-01,18509,0,66135,1,18.509,1.8509,0.0,0.0
1941-10-01,16783,0,59967,1,16.783,1.6783,0.0,0.0
1941-11-01,18129,0,64777,1,18.129,1.8129,0.0,0.0
1941-12-01,21658,0,77386,1,21.658,2.1658,0.0,0.0
1943-01-01,1896,0,85276,1,1.896,0.1896,0.0,0.0
1943-02-01,1810,0,81408,1,1.81,0.181,0.0,0.0
1943-03-01,2095,0,94227,1,2.095,0.2095,0.0,0.0
1943-04-01,1915,0,86131,1,1.915,0.1915,0.0,0.0
1943-05-01,2119,0,95306,1,2.119,0.2119,0.0,0.0
1943-06-01,1980,0,89054,1,1.98,0.198,0.0,0.0
1943-07-01,2294,0,103177,1,2.294,0.2294,0.0,0.0
1943-08-01,3290,0,147974,1,3.29,0.329,0.0,0.0
1943-09-01,3072,0,138169,1,3.072,0.3072,0.0,0.0
1943-10-01,3444,0,154901,1,3.444,0.3444,0.0,0.0
1943-11-01,3253,0,146310,1,3.253,0.3253,0.0,0.0
1943-12-01,2881,0,129579,1,2.881,0.2881,0.0,0.0
1946-01-01,62268,0,2800629,1,62.268,6.2268,0.0,0.0
1946-02-01,55961,0,2516959,1,55.961,5.5961,0.0,0.0
1946-03-01,53029,0,2385086,1,53.029,5.3029,0.0,0.0
1946-04-01,62386,0,2805936,1,62.386,6.2386,0.0,0.0
1946-05-01,62391,0,2806161,1,62.391,6.2391,0.0,0.0
1946-06-01,83766,0,3767544,1,83.766,8.3766,0.0,0.0
1946-07-01,90333,0,4062908,1,90.333,9.0333,0.0,0.0
1946-08-01,77095,0,3467503,1,77.095,7.7095,0.0,0.0
1946-09-01,71280,0,3205961,1,71.28,7.128,0.0,0.0
1946-10-01,72404,0,3256516,1,72.404,7.2404,0.0,0.0
