Month,monthly_oil_price,Adj Oil Price 1E-1
2021-11-01,79.15,7.915000000000001
2021-10-01,81.48,8.148
2021-09-01,71.65,7.165000000000001
2021-08-01,67.73,6.773000000000001
2021-07-01,72.49,7.249
2021-06-01,71.38,7.138
2021-05-01,65.17,6.517
2021-04-01,61.72,6.172
2021-03-01,62.33,6.233
2021-02-01,59.04,5.904
2021-01-01,52.0,5.2
2020-12-01,47.02,4.702
2020-11-01,40.94,4.093999999999999
2020-10-01,39.4,3.94
2020-09-01,39.63,3.963
2020-08-01,42.34,4.234
2020-07-01,40.71,4.071
2020-06-01,38.31,3.8310000000000004
2020-05-01,28.56,2.856
2020-04-01,16.55,1.655
2020-03-01,29.21,2.9210000000000003
2020-02-01,50.54,5.054
2020-01-01,57.52,5.752000000000001
2019-12-01,59.88,5.988
2019-11-01,57.03,5.703
2019-10-01,53.96,5.396
2019-09-01,56.95,5.695
2019-08-01,54.81,5.481
2019-07-01,57.35,5.735
2019-06-01,54.66,5.465999999999999
2019-05-01,60.83,6.083
2019-04-01,63.86,6.386
2019-03-01,58.15,5.8149999999999995
2019-02-01,54.95,5.495
2019-01-01,51.38,5.138
2018-12-01,49.52,4.952
2018-11-01,56.96,5.696
2018-10-01,70.75,7.075
2018-09-01,70.23,7.023000000000001
2018-08-01,68.06,6.806
2018-07-01,70.98,7.098000000000001
2018-06-01,67.87,6.787000000000001
2018-05-01,69.98,6.998
2018-04-01,66.25,6.625
2018-03-01,62.73,6.273
2018-02-01,62.23,6.223
2018-01-01,63.7,6.37
2017-12-01,57.88,5.788
2017-11-01,56.64,5.664
2017-10-01,51.58,5.1579999999999995
2017-09-01,49.82,4.982
2017-08-01,48.04,4.804
2017-07-01,46.63,4.663
2017-06-01,45.18,4.518
2017-05-01,48.48,4.848
2017-04-01,51.06,5.106
2017-03-01,49.33,4.933
2017-02-01,53.47,5.3469999999999995
2017-01-01,52.5,5.25
2016-12-01,51.97,5.197
2016-11-01,45.66,4.566
2016-10-01,49.78,4.978
2016-09-01,45.18,4.518
2016-08-01,44.72,4.4719999999999995
2016-07-01,44.65,4.465
2016-06-01,48.76,4.8759999999999994
2016-05-01,46.71,4.671
2016-04-01,40.75,4.075
2016-03-01,37.55,3.755
2016-02-01,30.32,3.032
2016-01-01,31.68,3.168
2015-12-01,37.19,3.719
2015-11-01,42.44,4.244
2015-10-01,46.22,4.622
2015-09-01,45.48,4.548
2015-08-01,42.87,4.287
2015-07-01,50.9,5.09
2015-06-01,59.82,5.982
2015-05-01,59.27,5.9270000000000005
2015-04-01,54.45,5.445
2015-03-01,47.82,4.782
2015-02-01,50.58,5.058
2015-01-01,47.22,4.7219999999999995
2014-12-01,59.29,5.929
2014-11-01,75.79,7.579000000000001
2014-10-01,84.4,8.440000000000001
2014-09-01,93.21,9.321
2014-08-01,96.54,9.654
2014-07-01,103.59,10.359
2014-06-01,105.79,10.579
2014-05-01,102.18,10.218
2014-04-01,102.07,10.206999999999999
2014-03-01,100.8,10.08
2014-02-01,100.82,10.081999999999999
2014-01-01,94.62,9.462
2013-12-01,97.63,9.763
2013-11-01,93.86,9.386
2013-10-01,100.54,10.054
2013-09-01,106.29,10.629000000000001
2013-08-01,106.57,10.657
2013-07-01,104.67,10.467
2013-06-01,95.77,9.577
2013-05-01,94.51,9.451
2013-04-01,92.02,9.202
2013-03-01,92.94,9.294
2013-02-01,95.31,9.531
2013-01-01,94.76,9.476
2012-12-01,87.86,8.786
2012-11-01,86.53,8.653
2012-10-01,89.49,8.949
2012-09-01,94.51,9.451
2012-08-01,94.13,9.413
2012-07-01,87.9,8.790000000000001
2012-06-01,82.3,8.23
2012-05-01,94.66,9.466
2012-04-01,103.32,10.331999999999999
2012-03-01,106.16,10.616
2012-02-01,102.2,10.22
2012-01-01,100.27,10.027
2011-12-01,98.56,9.856
2011-11-01,97.16,9.716
2011-10-01,86.32,8.632
2011-09-01,85.52,8.552
2011-08-01,86.33,8.633
2011-07-01,97.3,9.73
2011-06-01,96.26,9.626000000000001
2011-05-01,100.9,10.09
2011-04-01,109.53,10.953
2011-03-01,102.86,10.286
2011-02-01,88.58,8.858
2011-01-01,89.17,8.917
2010-12-01,89.15,8.915000000000001
2010-11-01,84.25,8.425
2010-10-01,81.89,8.189
2010-09-01,75.24,7.523999999999999
2010-08-01,76.6,7.659999999999999
2010-07-01,76.32,7.632
2010-06-01,75.34,7.534000000000001
2010-05-01,73.74,7.374
2010-04-01,84.29,8.429
2010-03-01,81.2,8.120000000000001
2010-02-01,76.39,7.639
2010-01-01,78.33,7.833
2009-12-01,74.47,7.447
2009-11-01,77.99,7.7989999999999995
2009-10-01,75.72,7.572
2009-09-01,69.41,6.941
2009-08-01,71.05,7.1049999999999995
2009-07-01,64.15,6.415000000000001
2009-06-01,69.64,6.964
2009-05-01,59.03,5.9030000000000005
2009-04-01,49.65,4.965
2009-03-01,47.94,4.794
2009-02-01,39.09,3.9090000000000003
2009-01-01,41.71,4.171
2008-12-01,41.12,4.112
2008-11-01,57.31,5.731
2008-10-01,76.61,7.661
2008-09-01,104.11,10.411
2008-08-01,116.67,11.667
2008-07-01,133.37,13.337
2008-06-01,133.88,13.388
2008-05-01,125.4,12.540000000000001
2008-04-01,112.58,11.258
2008-03-01,105.45,10.545
2008-02-01,95.39,9.539
2008-01-01,92.97,9.297
2007-12-01,91.69,9.169
2007-11-01,94.77,9.477
2007-10-01,85.8,8.58
2007-09-01,79.92,7.992
2007-08-01,72.36,7.236
2007-07-01,74.12,7.412000000000001
2007-06-01,67.49,6.749
2007-05-01,63.46,6.346
2007-04-01,63.98,6.398
2007-03-01,60.44,6.044
2007-02-01,59.28,5.928
2007-01-01,54.51,5.451
2006-12-01,61.96,6.196
2006-11-01,59.08,5.9079999999999995
2006-10-01,58.89,5.889
2006-09-01,63.8,6.38
2006-08-01,73.04,7.304
2006-07-01,74.41,7.441
2006-06-01,70.95,7.095000000000001
2006-05-01,70.84,7.0840000000000005
2006-04-01,69.44,6.944
2006-03-01,62.69,6.269
2006-02-01,61.63,6.163
2006-01-01,65.49,6.5489999999999995
2005-12-01,59.41,5.941
2005-11-01,58.32,5.832
2005-10-01,62.26,6.226
2005-09-01,65.59,6.559
2005-08-01,64.99,6.499
2005-07-01,59.0,5.9
2005-06-01,56.35,5.635
2005-05-01,49.83,4.983
2005-04-01,52.98,5.298
2005-03-01,54.19,5.419
2005-02-01,48.15,4.8149999999999995
2005-01-01,46.84,4.684
2004-12-01,43.15,4.3149999999999995
2004-11-01,48.47,4.8469999999999995
2004-10-01,53.28,5.328
2004-09-01,45.94,4.593999999999999
2004-08-01,44.9,4.49
2004-07-01,40.78,4.078
2004-06-01,38.03,3.803
2004-05-01,40.28,4.0280000000000005
2004-04-01,36.75,3.675
2004-03-01,36.74,3.6740000000000004
2004-02-01,34.69,3.469
2004-01-01,34.31,3.431
2003-12-01,32.13,3.213
2003-11-01,31.11,3.1109999999999998
2003-10-01,30.34,3.034
2003-09-01,28.31,2.831
2003-08-01,31.57,3.157
2003-07-01,30.76,3.076
2003-06-01,30.66,3.066
2003-05-01,28.11,2.811
2003-04-01,28.17,2.817
2003-03-01,33.51,3.351
2003-02-01,35.83,3.5829999999999997
2003-01-01,32.95,3.2950000000000004
2002-12-01,29.46,2.946
2002-11-01,26.35,2.6350000000000002
2002-10-01,28.84,2.884
2002-09-01,29.66,2.966
2002-08-01,28.39,2.839
2002-07-01,26.97,2.697
2002-06-01,25.52,2.552
2002-05-01,27.04,2.7039999999999997
2002-04-01,26.18,2.618
2002-03-01,24.53,2.4530000000000003
2002-02-01,20.72,2.072
2002-01-01,19.72,1.972
2001-12-01,19.39,1.939
2001-11-01,19.64,1.964
2001-10-01,22.17,2.217
2001-09-01,26.2,2.62
2001-08-01,27.37,2.737
2001-07-01,26.43,2.643
2001-06-01,27.6,2.7600000000000002
2001-05-01,28.63,2.863
2001-04-01,27.49,2.7489999999999997
2001-03-01,27.25,2.725
2001-02-01,29.61,2.961
2001-01-01,29.59,2.959
2000-12-01,28.44,2.8440000000000003
2000-11-01,34.42,3.442
2000-10-01,33.11,3.311
2000-09-01,33.88,3.3880000000000003
2000-08-01,31.26,3.1260000000000003
2000-07-01,29.7,2.9699999999999998
2000-06-01,31.82,3.182
2000-05-01,28.79,2.879
2000-04-01,25.72,2.572
2000-03-01,29.84,2.984
2000-02-01,29.37,2.9370000000000003
2000-01-01,27.26,2.726
1999-12-01,26.1,2.6100000000000003
1999-11-01,25.0,2.5
1999-10-01,22.69,2.269
1999-09-01,23.8,2.38
1999-08-01,21.28,2.128
1999-07-01,20.1,2.0100000000000002
1999-06-01,17.92,1.7920000000000003
1999-05-01,17.72,1.7719999999999998
1999-04-01,17.31,1.7309999999999999
1999-03-01,14.68,1.468
1999-02-01,12.01,1.201
1999-01-01,12.52,1.252
1998-12-01,11.35,1.135
1998-11-01,13.0,1.3
1998-10-01,14.46,1.4460000000000002
1998-09-01,15.03,1.503
1998-08-01,13.47,1.347
1998-07-01,14.17,1.417
1998-06-01,13.72,1.372
1998-05-01,14.91,1.491
1998-04-01,15.35,1.535
1998-03-01,15.12,1.512
1998-02-01,16.06,1.6059999999999999
1998-01-01,16.72,1.672
1997-12-01,18.33,1.8329999999999997
1997-11-01,20.19,2.019
1997-10-01,21.33,2.133
1997-09-01,19.8,1.98
1997-08-01,19.95,1.9949999999999999
1997-07-01,19.66,1.966
1997-06-01,19.26,1.9260000000000002
1997-05-01,20.82,2.082
1997-04-01,19.7,1.97
1997-03-01,20.97,2.097
1997-02-01,22.18,2.218
1997-01-01,25.13,2.513
1996-12-01,25.23,2.523
1996-11-01,23.71,2.371
1996-10-01,24.88,2.488
1996-09-01,23.97,2.397
1996-08-01,21.9,2.19
1996-07-01,21.3,2.13
1996-06-01,20.42,2.0420000000000003
1996-05-01,21.17,2.117
1996-04-01,23.5,2.35
1996-03-01,21.33,2.133
1996-02-01,19.09,1.909
1996-01-01,18.86,1.886
1995-12-01,19.03,1.903
1995-11-01,17.99,1.799
1995-10-01,17.43,1.7429999999999999
1995-09-01,18.23,1.823
1995-08-01,18.02,1.802
1995-07-01,17.33,1.7329999999999999
1995-06-01,18.45,1.845
1995-05-01,19.74,1.9739999999999998
1995-04-01,19.9,1.9899999999999998
1995-03-01,18.54,1.8539999999999999
1995-02-01,18.57,1.857
1995-01-01,18.04,1.8039999999999998
1994-12-01,17.16,1.716
1994-11-01,18.07,1.807
1994-10-01,17.72,1.7719999999999998
1994-09-01,17.45,1.7449999999999999
1994-08-01,18.38,1.8379999999999999
1994-07-01,19.66,1.966
1994-06-01,19.06,1.906
1994-05-01,17.89,1.7890000000000001
1994-04-01,16.42,1.6420000000000001
1994-03-01,14.68,1.468
1994-02-01,14.78,1.478
1994-01-01,15.03,1.503
1993-12-01,14.52,1.452
1993-11-01,16.61,1.661
1993-10-01,18.15,1.815
1993-09-01,17.5,1.75
1993-08-01,18.01,1.8010000000000002
1993-07-01,17.89,1.7890000000000001
1993-06-01,19.09,1.909
1993-05-01,19.95,1.9949999999999999
1993-04-01,20.25,2.025
