Date,Oil,Gas,monthly_oil_price,monthly_gas_price,Revenue Oil,Revenue Gas,Total Revenue,$M Total Revenue
1997-01-01,280995,1202974,25.13,3.45,7061404.35,4150260.3000000003,11211664.65,11.21
1997-02-01,260744,1161835,22.18,2.15,5783301.92,2497945.25,8281247.17,8.28
1997-03-01,290928,1284172,20.97,1.89,6100760.159999999,2427085.08,8527845.239999998,8.53
1997-04-01,286429,1232001,19.7,2.03,5642651.3,2500962.03,8143613.33,8.14
1997-05-01,310124,1289414,20.82,2.25,6456781.68,2901181.5,9357963.18,9.36
1997-06-01,284618,1246446,19.26,2.2,5481742.680000001,2742181.2,8223923.880000001,8.22
1997-07-01,309175,1263296,19.66,2.19,6078380.5,2766618.2399999998,8844998.74,8.84
1997-08-01,302077,1247308,19.95,2.49,6026436.149999999,3105796.9200000004,9132233.07,9.13
1997-09-01,294324,1214761,19.8,2.88,5827615.2,3498511.6799999997,9326126.879999999,9.33
1997-10-01,290225,1251108,21.33,3.07,6190499.249999999,3840901.5599999996,10031400.809999999,10.03
1997-11-01,276478,1222335,20.19,3.01,5582090.82,3679228.3499999996,9261319.17,9.26
1997-12-01,290129,1234577,18.33,2.35,5318064.569999999,2901255.95,8219320.52,8.22
1998-01-01,291347,1213717,16.72,2.09,4871321.84,2536668.53,7407990.369999999,7.41
1998-02-01,284703,1088809,16.06,2.23,4572330.18,2428044.07,7000374.25,7.0
1998-03-01,344538,1229276,15.12,2.24,5209414.56,2753578.24,7962992.8,7.96
1998-04-01,327305,1201782,15.35,2.43,5024131.75,2920330.2600000002,7944462.01,7.94
1998-05-01,344388,1273047,14.91,2.14,5134825.08,2724320.58,7859145.66,7.86
1998-06-01,320151,1243948,13.72,2.17,4392471.72,2699367.1599999997,7091838.879999999,7.09
1998-07-01,319790,1286192,14.17,2.17,4531424.3,2791036.64,7322460.9399999995,7.32
1998-08-01,315031,1306831,13.47,1.85,4243467.57,2417637.35,6661104.92,6.66
1998-09-01,312965,1210538,15.03,2.02,4703863.95,2445286.7600000002,7149150.710000001,7.15
1998-10-01,319900,1317040,14.46,1.91,4625754.0,2515546.4,7141300.4,7.14
1998-11-01,305632,1244926,13.0,2.12,3973216.0,2639243.12,6612459.12,6.61
1998-12-01,302581,1222821,11.35,1.72,3434294.35,2103252.12,5537546.470000001,5.54
1999-01-01,296156,1219285,12.52,1.85,3707873.1199999996,2255677.25,5963550.369999999,5.96
1999-02-01,269427,1085993,12.01,1.77,3235818.27,1922207.61,5158025.88,5.16
1999-03-01,280096,1179549,14.68,1.79,4111809.28,2111392.71,6223201.99,6.22
1999-04-01,263625,1119850,17.31,2.15,4563348.75,2407677.5,6971026.25,6.97
1999-05-01,268439,1143516,17.72,2.26,4756739.08,2584346.1599999997,7341085.24,7.34
1999-06-01,250736,1106730,17.92,2.3,4493189.12,2545479.0,7038668.12,7.04
1999-07-01,256303,1129073,20.1,2.31,5151690.300000001,2608158.63,7759848.930000001,7.76
1999-08-01,246081,1087601,21.28,2.8,5236603.680000001,3045282.8,8281886.48,8.28
1999-09-01,234703,1039141,23.8,2.55,5585931.4,2649809.55,8235740.95,8.24
1999-10-01,241089,1048779,22.69,2.73,5470309.41,2863166.67,8333476.08,8.33
1999-11-01,235216,996706,25.0,2.37,5880400.0,2362193.22,8242593.220000001,8.24
1999-12-01,240916,967789,26.1,2.36,6287907.600000001,2283982.04,8571889.64,8.57
2000-01-01,238208,901871,27.26,2.42,6493550.08,2182527.82,8676077.9,8.68
2000-02-01,227107,910276,29.37,2.66,6670132.59,2421334.16,9091466.75,9.09
2000-03-01,231223,980918,29.84,2.79,6899694.32,2736761.22,9636455.540000001,9.64
2000-04-01,220788,976778,25.72,3.04,5678667.359999999,2969405.12,8648072.48,8.65
2000-05-01,237937,1015172,28.79,3.59,6850206.2299999995,3644467.48,10494673.709999999,10.49
