API/UWI,Well Count,Operator Alias (Legacy),Well/Lease Name,Well Number,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,Measured Depth (TD),Spud Date,First Prod Date,Last Prod Date,Months Produced,Cum Gas,Daily Gas,Cum Oil,Daily Oil,Latest Oil,Latest Gas,Cum Water,Cum BOE,DI Subplay,First Month Oil,First Month Gas,First 6 Oil,DI Basin,First 6 Gas,First 6 BOE,First 6 Water,DI Play,Prac IP Oil Daily,Prac IP BOE,Prac IP Gas Daily,Prac IP CFGED,Latest Water,Prior 12 Oil,Prior 12 Gas,Last Test Date,Prior 12 Water,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Max Active Wells,Gas Gatherer,Oil Gatherer,Lease Number,Gross Perforated Interval,True Vertical Depth,Field,State,District,AAPG Geologic Province,Section,Country,Township,Range,Surface Latitude (WGS84),Abstract,Surface Longitude (WGS84),Block,OCS Area,PGC Area,Survey,Entity ID,EUR Calc Date,EUR Oil (BE),EUR Oil Delta (BE),EUR Oil Delta Percent (BE),EUR Gas (BE),EUR Gas Delta (BE),EUR Gas Delta Percent (BE),Oil RRR (BE),Gas RRR (BE),EUR Oil (Full),EUR Gas (Full),Oil RRR (Full),Operator (Reported),Gas RRR (Full),Last 12 Oil,Last 12 Gas,Last 12 Water,First Inj Date,Last Inj Date,Last Inj Gas  (MCF),Last Inj Water (BBL),Last Inj Other (BBL),Cum Inj Gas (MCF),Cum Inj Water (BBL),Cum Inj Other (BBL),Last Inj Product Types,Inj Product Types,Last Inj Pressure (PSI),EUR Oil Months (BE),EUR Oil Proxy (Y/N),EUR Oil B-Factor (BE),EUR Gas Months (BE),EUR Gas Proxy (Y/N),EUR Gas B-Factor (BE),EUR Oil Months (Full),EUR Oil B-Factor (Full),EUR Gas Months (Full),EUR Gas B-Factor (Full),Other No.,Total MMbbl,Total BCF
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),ELLENBURGER,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56425,,,"SAND HILLS, EAST",TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997723,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0,1,"BLACKBEARD OPERATING, LLC",LANDLUBBER,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,"DCP OPERATING COMPANY, LP",EASTEX CRUDE COMPANY,56435,,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997722,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR C,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56424,,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997721,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56423,,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997720,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR 1,,CRANE (TX),ELLENBURGER,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,56440,,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997717,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
42103367140000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER SWNW,23,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5458.0,2021-01-28,2021-03-01,2021-10-01,8.0,212760.0,868.0,66359.0,271.0,4644.0,25178.0,42174.0,101819.0,,15456.0,48670.0,56772.0,CENTRAL BASIN PLATFORM,162120.0,83792.0,34231.0,CENTRAL BASIN PLATFORM,417.0,694.0,1659.0,4162333.0,3848.0,,,2021-03-09,,,,3970.0,3206.197,3210.0,311.896,251.6,184.4,49756.0,2.0,15456.0,1.0,23568.0,1.0,141.0,1.0,3940.0,4870.0,,37.6,2021-03-05,1.0,TARGA MIDSTREAM SERVICES LLC,"WEST TEXAS CRUDE TRANSPORT, LLC",56320,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,31.5426096,,-102.71776,,,P-440,,130994046,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,66359.0,212760.0,42174.0,,,,,,,,,,,,,,,,,,,,,,8250,0.066359,0.21276
42103367600000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER SE,29,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5431.0,2021-02-01,2021-03-01,2021-10-01,8.0,90178.0,368.0,6892.0,28.0,1139.0,15318.0,36758.0,21922.0,,727.0,3897.0,5348.0,CENTRAL BASIN PLATFORM,67935.0,16671.0,28523.0,CENTRAL BASIN PLATFORM,40.0,114.0,446.0,684633.0,6075.0,,,2021-03-26,,,,11230.0,13084.446,13080.0,76.427,89.0,74.4,18967.0,3.0,1475.0,3.0,4636.0,3.0,28.0,3.0,4045.0,4975.0,,42.0,2021-03-11,1.0,TARGA MIDSTREAM SERVICES LLC,"WEST TEXAS CRUDE TRANSPORT, LLC",56262,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,4.0,USA,,,31.540893,1111.0,-102.7084876,B21,,P-440,"PSL / MC KNIGHT, M B",130992244,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,6892.0,90178.0,36758.0,,,,,,,,,,,,,,,,,,,,,,8250,0.006892,0.090178
0,1,"BLACKBEARD OPERATING, LLC",,7SD,CRANE (TX),ELLENBURGER,SWD,INACTIVE,V,7500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.0,7500.0,,,,,,,000124935,1800.0,,SAND HILLS,TX,8,PERMIAN BASIN,,USA,,,,,,,,P-440,,130987581,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
42103366630000,1,"BLACKBEARD OPERATING, LLC",LANDLUBBER,95,CRANE (TX),WICHITA-ALBANY,OIL,ACTIVE,V,6617.0,2019-08-16,2020-11-01,2021-08-01,10.0,60149.0,198.0,4476.0,15.0,190.0,4436.0,52714.0,14501.0,,267.0,3780.0,3421.0,CENTRAL BASIN PLATFORM,44276.0,10800.0,38178.0,CENTRAL BASIN PLATFORM,24.0,78.0,325.0,466645.0,2618.0,,,2021-01-15,,,,13790.0,13438.114,13440.0,74.415,72.5,42.8,10080.0,2.0,746.0,3.0,2411.0,2.0,14.0,2.0,5300.0,5590.0,,35.1,2019-09-13,1.0,TARGA MIDSTREAM SERVICES LLC,EASTEX CRUDE COMPANY,55909,290.0,,RUNNING W,TX,8,PERMIAN BASIN,26.0,USA,,,31.5558703,1107.0,-102.7100015,B17,,P-440,"O`NEAL, M C",130974652,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,4476.0,60149.0,52714.0,,,,,,,,,,,,,,,,,,,,,,8026,0.004476,0.060149
42103306980000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR C,,CRANE (TX),MCKNIGHT,OIL,INACTIVE,D,5011.0,1995-08-15,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-10-10,,,,,,,,,,,,,,,,,,3076.0,3701.0,,35.2,1961-09-20,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",55826,625.0,,SAND HILLS,TX,8,PERMIAN BASIN,21.0,USA,,,31.527738,1268.0,-102.5945839,B26,,P-440,PSL,130969812,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
