Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Apr 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,206,25,0,,231,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Apr 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Apr 2021,,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,452,111,164,1.0,399,"2,214",2214,2.0,ARMER,6350,82.0,61.5,1107.0,830.25
Apr 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"2,356","8,839",9146,0.0,"2,049","23,545",23545,2.0,ARMER,6350,4573.0,3429.75,11772.5,8829.375
Apr 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,446,"1,057",1195,0.0,308,"5,160",5160,2.0,ARMER,6350,597.5,448.125,2580.0,1935.0
Apr 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,279,"1,846",1890,0.0,235,"10,871",10871,2.0,ARMER,6350,945.0,708.75,5435.5,4076.625
Apr 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Apr 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,89,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Apr 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,61,590,606,0.0,45,"2,641",2641,2.0,ARMER,6350,303.0,227.25,1320.5,990.375
Apr 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,30,84,103,0.0,11,"1,676",1676,2.0,ARMER,6350,51.5,38.625,838.0,628.5
Apr 2021,,Oil,08,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,57,"1,119",1090,0.0,86,"2,268",2268,2.0,ARMER,6350,545.0,408.75,1134.0,850.5
Apr 2021,,Oil,08,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,88,812,848,0.0,52,"4,225",4225,2.0,ARMER,6350,424.0,318.0,2112.5,1584.375
Apr 2021,,Oil,08,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,227,"2,369",2414,0.0,182,"4,646",4646,2.0,ARMER,6350,1207.0,905.25,2323.0,1742.25
Apr 2021,,Oil,08,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,428,"4,213",4408,0.0,233,"17,970",17970,2.0,ARMER,6350,2204.0,1653.0,8985.0,6738.75
Apr 2021,,Oil,08,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,17,964,961,0.0,20,719,719,2.0,ARMER,6350,480.5,360.375,359.5,269.625
Apr 2021,,Oil,08,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,30,"1,655",1651,0.0,34,"6,720",6720,2.0,ARMER,6350,825.5,619.125,3360.0,2520.0
Apr 2021,,Oil,08,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,61,"4,283",4255,0.0,89,"7,652",7652,2.0,ARMER,6350,2127.5,1595.625,3826.0,2869.5
Apr 2021,,Oil,08,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,178,"1,664",1714,0.0,128,"6,244",6244,2.0,ARMER,6350,857.0,642.75,3122.0,2341.5
Apr 2021,,Oil,08,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,81,747,771,0.0,57,"2,145",2145,2.0,ARMER,6350,385.5,289.125,1072.5,804.375
Apr 2021,,Oil,08,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,24,437,433,0.0,28,"10,379",10379,2.0,ARMER,6350,216.5,162.375,5189.5,3892.125
Apr 2021,,Oil,08,53087.0,ARMER (6350),6 POUNDER NWSW,,,8250.0,37,"2,647",2629,0.0,55,"6,736",6736,2.0,ARMER,6350,1314.5,985.875,3368.0,2526.0
Apr 2021,,Oil,08,53148.0,ARMER (6350),LANDLUBBER 94,,,8026.0,16,142,148,0.0,10,"1,307",1307,2.0,ARMER,6350,74.0,55.5,653.5,490.125
Apr 2021,,Oil,08,53161.0,ARMER (6350),STEDE BONNET,,,9194.0,160,"2,824",2872,1.0,112,"6,621",6621,2.0,ARMER,6350,1436.0,1077.0,3310.5,2482.875
Apr 2021,,Oil,08,53167.0,ARMER (6350),6 POUNDER SWNW,,,8250.0,86,"7,186",7123,0.0,149,"6,129",6129,2.0,ARMER,6350,3561.5,2671.125,3064.5,2298.375
Apr 2021,Y,Oil,08,53168.0,ARMER (6350),STEDE BONNET NW,,,9194.0,120,"1,951",1994,1.0,77,"20,762",20762,2.0,ARMER,6350,997.0,747.75,10381.0,7785.75
Apr 2021,,Oil,08,20283.0,BLOCK B-21 (TUBB),"WADDELL, W. N., ETAL",,,4030.0,0,0,0,,0,0,0,,BLOCK B-21,TUBB,0.0,0.0,0.0,0.0
Apr 2021,,Gas,08,19634.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  565  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Apr 2021,,Gas,08,34093.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  417  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Apr 2021,,Gas,08,35607.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  889  ,,,0,0,0,,0,467,467,2.0,BLOCK 27,MCKEE,0.0,0.0,233.5,175.125
