Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Aug 2021,,Oil,8.0,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,222,38,0,,260,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Aug 2021,,Oil,8.0,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,39,0,0,,39,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Aug 2021,,Oil,8.0,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,183,89,0,,272,"2,064",2064,2.0,ARMER,6350,0.0,0.0,1032.0,774.0
Aug 2021,,Oil,8.0,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,882","8,215",8165,0.0,"1,932","28,894",28894,2.0,ARMER,6350,4082.5,3061.875,14447.0,10835.25
Aug 2021,,Oil,8.0,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,485,"1,253",1344,0.0,394,"6,773",6773,2.0,ARMER,6350,672.0,504.0,3386.5,2539.875
Aug 2021,,Oil,8.0,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,146,"1,108",1146,0.0,108,"9,340",9340,2.0,ARMER,6350,573.0,429.75,4670.0,3502.5
Aug 2021,,Oil,8.0,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Aug 2021,,Oil,8.0,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Aug 2021,,Oil,8.0,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,50,485,465,0.0,70,"2,005",2005,2.0,ARMER,6350,232.5,174.375,1002.5,751.875
Aug 2021,Y,Oil,8.0,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,60,721,711,0.0,70,"2,884",2884,2.0,ARMER,6350,355.5,266.625,1442.0,1081.5
Aug 2021,,Oil,8.0,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,79,851,807,0.0,123,"2,052",2052,2.0,ARMER,6350,403.5,302.625,1026.0,769.5
Aug 2021,,Oil,8.0,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,42,409,408,0.0,43,"3,951",3951,2.0,ARMER,6350,204.0,153.0,1975.5,1481.625
Aug 2021,,Oil,8.0,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,169,"1,556",1500,0.0,225,"4,173",4173,2.0,ARMER,6350,750.0,562.5,2086.5,1564.875
Aug 2021,Y,Oil,8.0,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,153,"2,877",2748,0.0,282,"15,828",15828,2.0,ARMER,6350,1374.0,1030.5,7914.0,5935.5
Aug 2021,Y,Oil,8.0,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,14,364,359,0.0,19,"1,262",1262,2.0,ARMER,6350,179.5,134.625,631.0,473.25
Aug 2021,Y,Oil,8.0,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,26,784,770,0.0,40,"2,584",2584,2.0,ARMER,6350,385.0,288.75,1292.0,969.0
Aug 2021,Y,Oil,8.0,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,76,"2,517",2463,0.0,130,"8,178",8178,2.0,ARMER,6350,1231.5,923.625,4089.0,3066.75
