Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Feb 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,155,27,0,,182,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,58,0,0,,58,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,350,146,174,1.0,322,"2,101",2101,2.0,ARMER,6350,87.0,65.25,1050.5,787.875
Feb 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,892","7,350",7211,0.0,"2,031","28,814",28814,2.0,ARMER,6350,3605.5,2704.125,14407.0,10805.25
Feb 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,441,"1,299",1257,0.0,483,"5,640",5640,2.0,ARMER,6350,628.5,471.375,2820.0,2115.0
Feb 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,301,"1,830",1791,0.0,340,"9,090",9090,2.0,ARMER,6350,895.5,671.625,4545.0,3408.75
Feb 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,89,0,0,,89,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,65,404,404,0.0,65,"1,679",1679,2.0,ARMER,6350,202.0,151.5,839.5,629.625
Feb 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,18,182,166,0.0,34,"1,086",1086,2.0,ARMER,6350,83.0,62.25,543.0,407.25
Feb 2021,,Oil,08,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,154,842,861,0.0,135,"2,237",2237,2.0,ARMER,6350,430.5,322.875,1118.5,838.875
Feb 2021,,Oil,08,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,100,"1,306",1308,0.0,98,"2,324",2324,2.0,ARMER,6350,654.0,490.5,1162.0,871.5
Feb 2021,,Oil,08,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,256,"2,074",1996,0.0,334,"4,186",4186,2.0,ARMER,6350,998.0,748.5,2093.0,1569.75
Feb 2021,,Oil,08,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,345,"3,854",3924,0.0,275,"12,412",12412,2.0,ARMER,6350,1962.0,1471.5,6206.0,4654.5
Feb 2021,,Oil,08,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,59,929,938,0.0,50,664,664,2.0,ARMER,6350,469.0,351.75,332.0,249.0
Feb 2021,,Oil,08,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,110,"1,754",1769,0.0,95,"2,985",2985,2.0,ARMER,6350,884.5,663.375,1492.5,1119.375
Feb 2021,,Oil,08,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,231,"3,000",3069,0.0,162,"6,257",6257,2.0,ARMER,6350,1534.5,1150.875,3128.5,2346.375
Feb 2021,,Oil,08,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,200,"1,672",1603,0.0,269,"5,628",5628,2.0,ARMER,6350,801.5,601.125,2814.0,2110.5
Feb 2021,,Oil,08,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,133,817,819,0.0,131,"2,003",2003,2.0,ARMER,6350,409.5,307.125,1001.5,751.125
Feb 2021,,Oil,08,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,39,300,316,0.0,23,"8,304",8304,2.0,ARMER,6350,158.0,118.5,4152.0,3114.0
Feb 2021,,Oil,08,53087.0,ARMER (6350),6 POUNDER NWSW,,,8250.0,136,"2,154",2174,0.0,116,"7,497",7497,2.0,ARMER,6350,1087.0,815.25,3748.5,2811.375
Feb 2021,,Oil,08,53148.0,ARMER (6350),LANDLUBBER 94,,,8026.0,10,192,187,0.0,15,913,913,2.0,ARMER,6350,93.5,70.125,456.5,342.375
Feb 2021,,Oil,08,53161.0,ARMER (6350),STEDE BONNET,,,9194.0,441,"2,389",2443,1.0,387,"7,810",7810,2.0,ARMER,6350,1221.5,916.125,3905.0,2928.75
Feb 2021,,Oil,08,53167.0,ARMER (6350),6 POUNDER SWNW,,,8250.0,202,"3,930",3920,0.0,212,"3,400",3400,2.0,ARMER,6350,1960.0,1470.0,1700.0,1275.0
Feb 2021,Y,Oil,08,53168.0,ARMER (6350),STEDE BONNET NW,,,9194.0,89,"1,862",1650,1.0,301,"6,594",6594,2.0,ARMER,6350,825.0,618.75,3297.0,2472.75
Feb 2021,,Oil,08,20283.0,BLOCK B-21 (TUBB),"WADDELL, W. N., ETAL",,,4030.0,0,0,0,,0,0,0,,BLOCK B-21,TUBB,0.0,0.0,0.0,0.0
Feb 2021,,Gas,08,19634.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  565  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Feb 2021,,Gas,08,34093.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  417  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Feb 2021,,Gas,08,35607.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  889  ,,,0,0,0,,0,608,608,2.0,BLOCK 27,MCKEE,0.0,0.0,304.0,228.0
Feb 2021,,Gas,08,35665.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  896  ,,,0,0,0,,0,971,971,2.0,BLOCK 27,MCKEE,0.0,0.0,485.5,364.125
Feb 2021,,Oil,08,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,213,198,166,1.0,245,71,71,2.0,BLOCK 31,PENN UPPER,83.0,62.25,35.5,26.625
Feb 2021,,Oil,08,39805.0,"BLOCK 31, NW. (PENN UPPER)",ROADRUNNER 1,,,,453,75,0,,528,70,70,2.0,BLOCK 31,PENN UPPER,0.0,0.0,35.0,26.25
Feb 2021,,Oil,08,9908.0,C-BAR (SAN ANDRES),"WADDELL, W. N., ETAL",,,4405.0,0,0,0,,0,0,0,,C-BAR,SAN ANDRES,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,690.0,CORDONA LAKE,"WADDELL, W.N. ET AL TR. -I-",,,,0,0,0,,0,0,0,,CORDONA LAKE,CORDONA LAKE,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,15557.0,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,42,152,141,1.0,53,185,185,2.0,CORDONA LAKE,DEVONIAN,70.5,52.875,92.5,69.375
Feb 2021,,Oil,08,20062.0,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803.0,0,0,0,,0,0,0,,CORDONA LAKE,TUBB 4500,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,19893.0,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,130,523,472,1.0,181,293,293,2.0,CORDONA LAKE,DEV.,236.0,177.0,146.5,109.875
Feb 2021,,Oil,08,19608.0,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,163,698,619,1.0,242,"2,684",2684,2.0,CORDONA LAKE,DEV.,309.5,232.125,1342.0,1006.5
Feb 2021,,Oil,08,20417.0,"COWDEN, NORTH",BLOCK 9 UNIT,,,,315,268,351,1.0,232,0,0,,COWDEN,"COWDEN, NORTH",175.5,131.625,0.0,0.0
Feb 2021,,Oil,08,53786.0,CRAWAR (SAN ANDRES CONS.),MAN OF WAR,,,7903.0,0,0,0,,0,0,0,,CRAWAR,SAN ANDRES CONS.,0.0,0.0,0.0,0.0
Feb 2021,Y,Oil,08,17168.0,DELL (SAN ANDRES),WADDELL,,,,144,0,0,,144,0,0,,DELL,SAN ANDRES,0.0,0.0,0.0,0.0
Feb 2021,,Oil,08,1224.0,DUNE,"WADDELL, W. N.",,T,,"1,701","8,758",5068,0.0,"1,644","3,809",3809,2.0,DUNE,DUNE,2534.0,1900.5,1904.5,1428.375
Feb 2021,,,08,1224.0,DUNE,"WADDELL, W. N.",,,5399.0,4,68,66,1.0,6,,0,,DUNE,DUNE,33.0,24.75,0.0,0.0
Feb 2021,,,08,1224.0,DUNE,"WADDELL, W. N.",,,5424.0,"1,018","6,441",5068,0.0,"1,324",,0,,DUNE,DUNE,2534.0,1900.5,0.0,0.0
Feb 2021,,,08,1224.0,DUNE,"WADDELL, W. N.",,,7764.0,184,622,695,1.0,111,,0,,DUNE,DUNE,347.5,260.625,0.0,0.0
