Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Jan 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,119,36,0,,155,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Jan 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,58,0,0,,58,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jan 2021,Y,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,550,163,363,1.0,350,"2,422",2422,2.0,ARMER,6350,181.5,136.125,1211.0,908.25
Jan 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"2,221","10,443",9088,0.0,"1,892","35,318",35318,2.0,ARMER,6350,4544.0,3408.0,17659.0,13244.25
Jan 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,630,"1,695",1594,0.0,441,"6,215",6215,2.0,ARMER,6350,797.0,597.75,3107.5,2330.625
Jan 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,395,"2,212",2063,0.0,301,"13,415",13415,2.0,ARMER,6350,1031.5,773.625,6707.5,5030.625
Jan 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jan 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,89,0,0,,89,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jan 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,63,574,484,0.0,65,"1,947",1947,2.0,ARMER,6350,242.0,181.5,973.5,730.125
Jan 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,33,133,132,0.0,18,"1,642",1642,2.0,ARMER,6350,66.0,49.5,821.0,615.75
Jan 2021,,Oil,08,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,181,"1,369",1181,0.0,154,"2,191",2191,2.0,ARMER,6350,590.5,442.875,1095.5,821.625
Jan 2021,,Oil,08,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,102,"1,597",669,0.0,100,"4,605",4605,2.0,ARMER,6350,334.5,250.875,2302.5,1726.875
Jan 2021,,Oil,08,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,256,"2,272",1923,0.0,256,"4,579",4579,2.0,ARMER,6350,961.5,721.125,2289.5,1717.125
Jan 2021,Y,Oil,08,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,427,"5,831",2489,0.0,345,"16,565",16565,2.0,ARMER,6350,1244.5,933.375,8282.5,6211.875
Jan 2021,Y,Oil,08,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,68,"1,287",559,0.0,59,"1,016",1016,2.0,ARMER,6350,279.5,209.625,508.0,381.0
Jan 2021,Y,Oil,08,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,154,"2,427",1066,0.0,110,"4,574",4574,2.0,ARMER,6350,533.0,399.75,2287.0,1715.25
Jan 2021,Y,Oil,08,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,345,"5,069",2235,0.0,231,"10,424",10424,2.0,ARMER,6350,1117.5,838.125,5212.0,3909.0
Jan 2021,,Oil,08,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,171,"1,777",1479,0.0,200,"6,047",6047,2.0,ARMER,6350,739.5,554.625,3023.5,2267.625
Jan 2021,,Oil,08,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,171,"1,184",1034,0.0,133,"2,272",2272,2.0,ARMER,6350,517.0,387.75,1136.0,852.0
