Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Jul 2021,,Oil,8.0,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,185,37,0,,222,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Jul 2021,,Oil,8.0,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,39,0,0,,39,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jul 2021,,Oil,8.0,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,267,91,175,1.0,183,"2,165",2165,2.0,ARMER,6350,87.5,65.625,1082.5,811.875
Jul 2021,,Oil,8.0,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"2,013","8,947",9078,0.0,"1,882","22,367",22367,2.0,ARMER,6350,4539.0,3404.25,11183.5,8387.625
Jul 2021,,Oil,8.0,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,364,"1,581",1460,0.0,485,"4,933",4933,2.0,ARMER,6350,730.0,547.5,2466.5,1849.875
Jul 2021,,Oil,8.0,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,444,"1,828",2126,0.0,146,"10,206",10206,2.0,ARMER,6350,1063.0,797.25,5103.0,3827.25
Jul 2021,,Oil,8.0,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jul 2021,,Oil,8.0,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jul 2021,,Oil,8.0,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,78,501,529,0.0,50,"2,274",2274,2.0,ARMER,6350,264.5,198.375,1137.0,852.75
Jul 2021,,Oil,8.0,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,36,748,724,0.0,60,"2,594",2594,2.0,ARMER,6350,362.0,271.5,1297.0,972.75
Jul 2021,,Oil,8.0,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,143,786,850,0.0,79,"2,014",2014,2.0,ARMER,6350,425.0,318.75,1007.0,755.25
Jul 2021,,Oil,8.0,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,52,660,670,0.0,42,"6,121",6121,2.0,ARMER,6350,335.0,251.25,3060.5,2295.375
Jul 2021,,Oil,8.0,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,249,"1,690",1770,0.0,169,"4,197",4197,2.0,ARMER,6350,885.0,663.75,2098.5,1573.875
Jul 2021,,Oil,8.0,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,296,"2,685",2828,0.0,153,"13,035",13035,2.0,ARMER,6350,1414.0,1060.5,6517.5,4888.125
Jul 2021,,Oil,8.0,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,22,509,517,0.0,14,381,381,2.0,ARMER,6350,258.5,193.875,190.5,142.875
Jul 2021,,Oil,8.0,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,45,958,977,0.0,26,"1,502",1502,2.0,ARMER,6350,488.5,366.375,751.0,563.25
Jul 2021,,Oil,8.0,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,83,"2,800",2807,0.0,76,"6,892",6892,2.0,ARMER,6350,1403.5,1052.625,3446.0,2584.5
Jul 2021,,Oil,8.0,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,189,"1,117",1194,0.0,112,"5,468",5468,2.0,ARMER,6350,597.0,447.75,2734.0,2050.5
Jul 2021,,Oil,8.0,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,97,570,610,0.0,57,"1,938",1938,2.0,ARMER,6350,305.0,228.75,969.0,726.75
Jul 2021,,Oil,8.0,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,37,473,480,0.0,30,"13,889",13889,2.0,ARMER,6350,240.0,180.0,6944.5,5208.375
