Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Jun 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,276,46,137,1.0,185,0,0,,ARMER,TUBB,68.5,51.375,0.0,0.0
Jun 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,78,0,39,1.0,39,0,0,,ARMER,6350,19.5,14.625,0.0,0.0
Jun 2021,,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,333,109,175,1.0,267,"1,191",1191,2.0,ARMER,6350,87.5,65.625,595.5,446.625
Jun 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,638","7,873",7498,0.0,"2,013","18,248",18248,2.0,ARMER,6350,3749.0,2811.75,9124.0,6843.0
Jun 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,323,"1,224",1183,0.0,364,"3,680",3680,2.0,ARMER,6350,591.5,443.625,1840.0,1380.0
Jun 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,226,"1,629",1411,0.0,444,"8,565",8565,2.0,ARMER,6350,705.5,529.125,4282.5,3211.875
Jun 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jun 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Jun 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,73,506,501,0.0,78,"1,900",1900,2.0,ARMER,6350,250.5,187.875,950.0,712.5
Jun 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,10,131,105,0.0,36,"1,459",1459,2.0,ARMER,6350,52.5,39.375,729.5,547.125
Jun 2021,,Oil,08,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,148,930,935,0.0,143,"1,474",1474,2.0,ARMER,6350,467.5,350.625,737.0,552.75
Jun 2021,,Oil,08,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,22,548,518,0.0,52,"4,968",4968,2.0,ARMER,6350,259.0,194.25,2484.0,1863.0
Jun 2021,,Oil,08,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,231,"1,624",1606,0.0,249,"3,611",3611,2.0,ARMER,6350,803.0,602.25,1805.5,1354.125
Jun 2021,,Oil,08,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,169,"3,478",3351,0.0,296,"14,115",14115,2.0,ARMER,6350,1675.5,1256.625,7057.5,5293.125
Jun 2021,,Oil,08,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,21,551,550,0.0,22,347,347,2.0,ARMER,6350,275.0,206.25,173.5,130.125
Jun 2021,,Oil,08,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,47,"1,136",1138,0.0,45,"2,949",2949,2.0,ARMER,6350,569.0,426.75,1474.5,1105.875
Jun 2021,,Oil,08,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,88,"2,100",2105,0.0,83,"4,846",4846,2.0,ARMER,6350,1052.5,789.375,2423.0,1817.25
Jun 2021,,Oil,08,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,220,"1,228",1259,0.0,189,"4,442",4442,2.0,ARMER,6350,629.5,472.125,2221.0,1665.75
Jun 2021,,Oil,08,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,100,632,635,0.0,97,"1,477",1477,2.0,ARMER,6350,317.5,238.125,738.5,553.875
Jun 2021,,Oil,08,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,19,385,367,0.0,37,"9,294",9294,2.0,ARMER,6350,183.5,137.625,4647.0,3485.25
Jun 2021,,Oil,08,53087.0,ARMER (6350),6 POUNDER NWSW,,,8250.0,88,"2,278",2276,0.0,90,"4,206",4206,2.0,ARMER,6350,1138.0,853.5,2103.0,1577.25
Jun 2021,,Oil,08,53148.0,ARMER (6350),LANDLUBBER 94,,,8026.0,9,5,13,0.0,1,16,16,2.0,ARMER,6350,6.5,4.875,8.0,6.0
Jun 2021,,Oil,08,53161.0,ARMER (6350),STEDE BONNET,,,9194.0,120,"2,612",2521,0.0,211,"5,983",5983,2.0,ARMER,6350,1260.5,945.375,2991.5,2243.625
Jun 2021,,Oil,08,53167.0,ARMER (6350),6 POUNDER SWNW,,,8250.0,179,"6,492",6416,0.0,255,"5,258",5258,2.0,ARMER,6350,3208.0,2406.0,2629.0,1971.75
Jun 2021,Y,Oil,08,53168.0,ARMER (6350),STEDE BONNET NW,,,9194.0,72,"1,436",1392,0.0,116,"10,754",10754,2.0,ARMER,6350,696.0,522.0,5377.0,4032.75
Jun 2021,,Oil,08,20283.0,BLOCK B-21 (TUBB),"WADDELL, W. N., ETAL",,,4030.0,0,0,0,,0,0,0,,BLOCK B-21,TUBB,0.0,0.0,0.0,0.0
Jun 2021,,Gas,08,19634.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  565  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Jun 2021,,Gas,08,34093.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  417  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Jun 2021,,Gas,08,35607.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  889  ,,,0,0,0,,0,547,547,2.0,BLOCK 27,MCKEE,0.0,0.0,273.5,205.125
Jun 2021,,Gas,08,35665.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  896  ,,,0,0,0,,0,"1,202",1202,2.0,BLOCK 27,MCKEE,0.0,0.0,601.0,450.75
Jun 2021,,Oil,08,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,286,153,349,1.0,90,15,15,2.0,BLOCK 31,PENN UPPER,174.5,130.875,7.5,5.625
