Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Mar 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,182,24,0,,206,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Mar 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,58,20,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Mar 2021,,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,322,130,0,,452,"2,323",2323,2.0,ARMER,6350,0.0,0.0,1161.5,871.125
Mar 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"2,031","9,853",9528,0.0,"2,356","29,662",29662,2.0,ARMER,6350,4764.0,3573.0,14831.0,11123.25
Mar 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,483,"1,544",1581,0.0,446,"6,376",6376,2.0,ARMER,6350,790.5,592.875,3188.0,2391.0
Mar 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,340,"2,137",2198,0.0,279,"10,341",10341,2.0,ARMER,6350,1099.0,824.25,5170.5,3877.875
Mar 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Mar 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,89,0,0,,89,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Mar 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,65,657,661,0.0,61,"2,847",2847,2.0,ARMER,6350,330.5,247.875,1423.5,1067.625
Mar 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,34,230,234,0.0,30,"1,537",1537,2.0,ARMER,6350,117.0,87.75,768.5,576.375
