Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
May 2021,,Oil,08,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,231,45,0,,276,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
May 2021,,Oil,08,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
May 2021,,Oil,08,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,399,117,183,1.0,333,"2,029",2029,2.0,ARMER,6350,91.5,68.625,1014.5,760.875
May 2021,,Oil,08,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"2,049","8,691",9102,0.0,"1,638","20,432",20432,2.0,ARMER,6350,4551.0,3413.25,10216.0,7662.0
May 2021,,Oil,08,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,308,"1,422",1407,0.0,323,"5,621",5621,2.0,ARMER,6350,703.5,527.625,2810.5,2107.875
May 2021,,Oil,08,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,235,"1,703",1712,0.0,226,"9,971",9971,2.0,ARMER,6350,856.0,642.0,4985.5,3739.125
May 2021,,Oil,08,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
May 2021,,Oil,08,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
May 2021,,Oil,08,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,45,534,506,0.0,73,"2,735",2735,2.0,ARMER,6350,253.0,189.75,1367.5,1025.625
May 2021,,Oil,08,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,11,77,78,0.0,10,"1,607",1607,2.0,ARMER,6350,39.0,29.25,803.5,602.625
May 2021,,Oil,08,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,86,"1,081",1019,0.0,148,"2,074",2074,2.0,ARMER,6350,509.5,382.125,1037.0,777.75
May 2021,,Oil,08,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,52,473,503,0.0,22,"4,529",4529,2.0,ARMER,6350,251.5,188.625,2264.5,1698.375
May 2021,,Oil,08,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,182,"1,687",1638,0.0,231,"4,182",4182,2.0,ARMER,6350,819.0,614.25,2091.0,1568.25
May 2021,,Oil,08,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,233,"3,827",3891,0.0,169,"21,983",21983,2.0,ARMER,6350,1945.5,1459.125,10991.5,8243.625
May 2021,,Oil,08,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,20,643,642,0.0,21,420,420,2.0,ARMER,6350,321.0,240.75,210.0,157.5
May 2021,,Oil,08,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,34,"1,429",1416,0.0,47,"5,772",5772,2.0,ARMER,6350,708.0,531.0,2886.0,2164.5
May 2021,,Oil,08,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,89,"2,655",2656,0.0,88,"6,534",6534,2.0,ARMER,6350,1328.0,996.0,3267.0,2450.25
May 2021,,Oil,08,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,128,"1,606",1514,0.0,220,"6,799",6799,2.0,ARMER,6350,757.0,567.75,3399.5,2549.625
May 2021,,Oil,08,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,57,734,691,0.0,100,"2,089",2089,2.0,ARMER,6350,345.5,259.125,1044.5,783.375
May 2021,,Oil,08,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,28,401,410,0.0,19,"10,945",10945,2.0,ARMER,6350,205.0,153.75,5472.5,4104.375
May 2021,,Oil,08,53087.0,ARMER (6350),6 POUNDER NWSW,,,8250.0,55,"2,646",2613,0.0,88,"6,303",6303,2.0,ARMER,6350,1306.5,979.875,3151.5,2363.625
