Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Nov 2021,,Oil,8.0,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,166,38,0,,204,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
Nov 2021,,Oil,8.0,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,18,0,0,,18,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Nov 2021,,Oil,8.0,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,165,85,0,,250,447,447,2.0,ARMER,6350,0.0,0.0,223.5,167.625
Nov 2021,,Oil,8.0,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,452","6,098",6499,0.0,"1,051","18,593",18593,2.0,ARMER,6350,3249.5,2437.125,9296.5,6972.375
Nov 2021,,Oil,8.0,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,193,866,869,0.0,190,"4,149",4149,2.0,ARMER,6350,434.5,325.875,2074.5,1555.875
Nov 2021,,Oil,8.0,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,163,940,991,0.0,112,"8,355",8355,2.0,ARMER,6350,495.5,371.625,4177.5,3133.125
Nov 2021,,Oil,8.0,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Nov 2021,,Oil,8.0,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Nov 2021,,Oil,8.0,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,28,296,299,0.0,25,"1,923",1923,2.0,ARMER,6350,149.5,112.125,961.5,721.125
Nov 2021,,Oil,8.0,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,13,102,103,0.0,12,"1,339",1339,2.0,ARMER,6350,51.5,38.625,669.5,502.125
Nov 2021,,Oil,8.0,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,58,832,821,0.0,69,"2,499",2499,2.0,ARMER,6350,410.5,307.875,1249.5,937.125
Nov 2021,,Oil,8.0,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,30,374,371,0.0,33,"3,553",3553,2.0,ARMER,6350,185.5,139.125,1776.5,1332.375
Nov 2021,,Oil,8.0,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,141,"1,683",1684,0.0,140,"4,274",4274,2.0,ARMER,6350,842.0,631.5,2137.0,1602.75
Nov 2021,,Oil,8.0,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,191,"2,498",2482,0.0,207,"13,471",13471,2.0,ARMER,6350,1241.0,930.75,6735.5,5051.625
Nov 2021,,Oil,8.0,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,24,402,404,0.0,22,"1,796",1796,2.0,ARMER,6350,202.0,151.5,898.0,673.5
Nov 2021,,Oil,8.0,51558.0,ARMER (6350),6 POUNDER SW,,,8250.0,37,590,595,0.0,32,"2,890",2890,2.0,ARMER,6350,297.5,223.125,1445.0,1083.75
Nov 2021,,Oil,8.0,52339.0,ARMER (6350),6 POUNDER NESW,,,8250.0,61,778,797,0.0,42,"5,417",5417,2.0,ARMER,6350,398.5,298.875,2708.5,2031.375
Nov 2021,,Oil,8.0,52471.0,ARMER (6350),YELLOW JACK NW,,,8539.0,82,"1,411",1375,0.0,118,"6,296",6296,2.0,ARMER,6350,687.5,515.625,3148.0,2361.0
Nov 2021,,Oil,8.0,52831.0,ARMER (6350),YELLOW JACK SWSW,,,8539.0,42,376,387,0.0,31,"1,455",1455,2.0,ARMER,6350,193.5,145.125,727.5,545.625
Nov 2021,,Oil,8.0,52899.0,ARMER (6350),6 POUNDER SENE,,,8250.0,25,11,35,0.0,1,116,116,2.0,ARMER,6350,17.5,13.125,58.0,43.5
Nov 2021,,Oil,8.0,53087.0,ARMER (6350),6 POUNDER NWSW,,,8250.0,173,"2,803",2826,0.0,150,"5,046",5046,2.0,ARMER,6350,1413.0,1059.75,2523.0,1892.25
Nov 2021,,Oil,8.0,53148.0,ARMER (6350),LANDLUBBER 94,,,8026.0,18,989,935,0.0,72,"1,547",1547,2.0,ARMER,6350,467.5,350.625,773.5,580.125
Nov 2021,,Oil,8.0,53161.0,ARMER (6350),STEDE BONNET,,,9194.0,132,"2,200",2181,0.0,151,"2,958",2958,2.0,ARMER,6350,1090.5,817.875,1479.0,1109.25
Nov 2021,,Oil,8.0,53167.0,ARMER (6350),6 POUNDER SWNW,,,8250.0,230,"3,606",3643,0.0,193,"3,547",3547,2.0,ARMER,6350,1821.5,1366.125,1773.5,1330.125
Nov 2021,,Oil,8.0,53168.0,ARMER (6350),STEDE BONNET NW,,,9194.0,81,"1,821",1777,0.0,125,"12,246",12246,2.0,ARMER,6350,888.5,666.375,6123.0,4592.25
Nov 2021,,Oil,8.0,20283.0,BLOCK B-21 (TUBB),"WADDELL, W. N., ETAL",,,4030.0,0,0,0,,0,0,0,,BLOCK B-21,TUBB,0.0,0.0,0.0,0.0
Nov 2021,,Gas,8.0,19634.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  565  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Nov 2021,,Gas,8.0,34093.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  417  ,,,0,0,0,,0,0,0,,BLOCK 27,MCKEE,0.0,0.0,0.0,0.0
Nov 2021,Y,Gas,8.0,35607.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  889  ,,,0,0,0,,0,350,350,2.0,BLOCK 27,MCKEE,0.0,0.0,175.0,131.25
Nov 2021,Y,Gas,8.0,35665.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  896  ,,,0,0,0,,0,"1,171",1171,2.0,BLOCK 27,MCKEE,0.0,0.0,585.5,439.125
Nov 2021,Y,Oil,8.0,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,343,157,186,1.0,314,24,24,2.0,BLOCK 31,PENN UPPER,93.0,69.75,12.0,9.0
