Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Sept 2021,,Oil,8.0,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,260,23,143,1.0,140,0,0,,ARMER,TUBB,71.5,53.625,0.0,0.0
Sept 2021,,Oil,8.0,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,39,0,21,1.0,18,0,0,,ARMER,6350,10.5,7.875,0.0,0.0
Sept 2021,,Oil,8.0,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,272,161,172,1.0,261,"1,941",1941,2.0,ARMER,6350,86.0,64.5,970.5,727.875
Sept 2021,,Oil,8.0,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,932","7,137",7348,0.0,"1,721","21,352",21352,2.0,ARMER,6350,3674.0,2755.5,10676.0,8007.0
Sept 2021,,Oil,8.0,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,394,"1,569",1456,0.0,507,"3,346",3346,2.0,ARMER,6350,728.0,546.0,1673.0,1254.75
Sept 2021,,Oil,8.0,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,108,"1,306",1277,0.0,137,"8,609",8609,2.0,ARMER,6350,638.5,478.875,4304.5,3228.375
Sept 2021,,Oil,8.0,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,70,410,441,0.0,39,"1,820",1820,2.0,ARMER,6350,220.5,165.375,910.0,682.5
Sept 2021,,Oil,8.0,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,70,221,268,0.0,23,"1,650",1650,2.0,ARMER,6350,134.0,100.5,825.0,618.75
