"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Apr 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,206,206,"   03  "
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,106","2,106","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,206,25,,,231,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,78,0,,,78,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,452,111,164,"   01  ",399,"2,214","2,214","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"2,356","8,839","9,146","   00  ","2,049","23,545","23,545","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,446,"1,057","1,195","   00  ",308,"5,160","5,160","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,279,"1,846","1,890","   00  ",235,"10,871","10,871","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,89,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,61,590,606,"   00  ",45,"2,641","2,641","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,30,84,103,"   00  ",11,"1,676","1,676","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,57,"1,119","1,090","   00  ",86,"2,268","2,268","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,88,812,848,"   00  ",52,"4,225","4,225","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,227,"2,369","2,414","   00  ",182,"4,646","4,646","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,428,"4,213","4,408","   00  ",233,"17,970","17,970","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,17,964,961,"   00  ",20,719,719,"   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,30,"1,655","1,651","   00  ",34,"6,720","6,720","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,61,"4,283","4,255","   00  ",89,"7,652","7,652","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,178,"1,664","1,714","   00  ",128,"6,244","6,244","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,81,747,771,"   00  ",57,"2,145","2,145","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,24,437,433,"   00  ",28,"10,379","10,379","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,37,"2,647","2,629","   00  ",55,"6,736","6,736","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,16,142,148,"   00  ",10,"1,307","1,307","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,160,"2,824","2,872","   01  ",112,"6,621","6,621","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,86,"7,186","7,123","   00  ",149,"6,129","6,129","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,120,"1,951","1,994","   01  ",77,"20,762","20,762","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,467,467,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,246","1,246","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,196,199,178,"   01  ",217,36,36,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,256,72,,,328,66,66,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,0,0,,,0,0,,
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,57,245,242,"   01  ",60,225,225,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,3,56,45,"   01  ",14,9,9,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,162,607,620,"   01  ",149,107,107,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,272,"1,238","1,206","   01  ",304,"9,101","9,101","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,296,378,361,"   01  ",313,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,112,85,158,"   01  ",39,0,,
Y,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"3,034","11,899","8,435","   00  ","1,838","5,890","5,890","   02  "
,,,,,,,,,,,"4,660","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,10,105,104,"   01  ",11,0,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"2,393","9,060","8,435","   00  ","1,189",0,,
,,,,,,,,,,,"1,829","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,224,744,814,"   01  ",154,0,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,407,"1,990","1,913","   01  ",484,0,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,9,8,"   01  ",1,12,12,"   02  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,69,84,,,153,887,887,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,128,193,165,"   01  ",156,128,128,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,197,991,"1,003","   01  ",185,"17,701","17,701","   02  "
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,164,28,,,192,"1,235","1,235","   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,154,67,175,"   01  ",46,"1,078","1,078","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,774,774,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,710,710,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,796","2,796","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,548","1,548","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,179,179,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,255,255,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,32,32,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,67,67,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,161,161,"   02  "
