"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Aug 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,222,38,,,260,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,39,0,,,39,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,183,89,,,272,"2,064","2,064","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,882","8,215","8,165","   00  ","1,932","28,894","28,894","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,485,"1,253","1,344","   00  ",394,"6,773","6,773","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,146,"1,108","1,146","   00  ",108,"9,340","9,340","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,50,485,465,"   00  ",70,"2,005","2,005","   02  "
Y,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,60,721,711,"   00  ",70,"2,884","2,884","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,79,851,807,"   00  ",123,"2,052","2,052","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,42,409,408,"   00  ",43,"3,951","3,951","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,169,"1,556","1,500","   00  ",225,"4,173","4,173","   02  "
Y,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,153,"2,877","2,748","   00  ",282,"15,828","15,828","   02  "
Y,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,14,364,359,"   00  ",19,"1,262","1,262","   02  "
Y,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,26,784,770,"   00  ",40,"2,584","2,584","   02  "
Y,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,76,"2,517","2,463","   00  ",130,"8,178","8,178","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,112,"1,147","1,093","   00  ",166,"5,779","5,779","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,57,593,564,"   00  ",86,"2,098","2,098","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,30,386,376,"   00  ",40,"10,473","10,473","   02  "
Y,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,89,"2,785","2,730","   00  ",144,"7,562","7,562","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,11,347,333,"   00  ",25,"2,040","2,040","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,128,"1,697","1,739","   00  ",86,"6,305","6,305","   02  "
Y,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,181,"6,477","6,324","   00  ",334,"6,537","6,537","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,71,"1,598","1,588","   00  ",81,"15,828","15,828","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,504,504,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,786,786,"   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,292,156,177,"   01  ",271,14,14,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,373,86,,,459,49,49,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,30,205,204,"   01  ",31,"5,729","5,729","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,31,160,167,"   01  ",24,599,599,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,62,229,256,"   01  ",35,218,218,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,87,588,586,"   01  ",89,191,191,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,187,"1,649","1,587","   01  ",249,"11,429","11,429","   02  "
Y,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,201,0,,,179,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,147,101,172,"   01  ",76,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,497","11,965","7,777","   00  ","1,570","7,485","7,485","   02  "
,,,,,,,,,,,"4,115","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,4,115,110,"   01  ",9,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,191","8,986","7,777","   00  ",923,,,
,,,,,,,,,,,"1,477","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,54,946,871,"   01  ",129,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,248,"1,918","1,657","   01  ",509,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,1,0,1,"   01  ",0,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,13,13,"   02  "
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,54,91,,,145,30,30,"   02  "
Y,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
Y,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,N/A,0,,,0,0,,
Y,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
Y,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,362,0,,,147,0,,
Y,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,301,0,,,356,0,,
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,85,0,,,32,0,,
Y,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,67,0,,,113,0,,
Y,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,N/A,0,,,0,0,,
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,0,,
Y,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,N/A,0,,,0,0,,
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,N/A,0,,,0,0,,
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,N/A,0,,,0,0,,
Y,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,N/A,0,,,0,0,,
Y,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,N/A,0,,,0,0,,
Y,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,N/A,0,,,0,0,,
Y,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,N/A,0,,,0,0,,
Y,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,N/A,0,,,0,0,,
Y,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,N/A,0,,,0,0,,
Y,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,N/A,0,,,0,0,,
Y,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,N/A,0,,,0,0,,
Y,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,N/A,0,,,0,0,,
Y,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,N/A,0,,,0,0,,
