"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,662,662,"   03  "
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,246","2,246","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,155,27,,,182,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,58,0,,,58,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,350,146,174,"   01  ",322,"2,101","2,101","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,892","7,350","7,211","   00  ","2,031","28,814","28,814","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,441,"1,299","1,257","   00  ",483,"5,640","5,640","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,301,"1,830","1,791","   00  ",340,"9,090","9,090","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,89,0,,,89,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,65,404,404,"   00  ",65,"1,679","1,679","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,18,182,166,"   00  ",34,"1,086","1,086","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,154,842,861,"   00  ",135,"2,237","2,237","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,100,"1,306","1,308","   00  ",98,"2,324","2,324","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,256,"2,074","1,996","   00  ",334,"4,186","4,186","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,345,"3,854","3,924","   00  ",275,"12,412","12,412","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,59,929,938,"   00  ",50,664,664,"   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,110,"1,754","1,769","   00  ",95,"2,985","2,985","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,231,"3,000","3,069","   00  ",162,"6,257","6,257","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,200,"1,672","1,603","   00  ",269,"5,628","5,628","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,133,817,819,"   00  ",131,"2,003","2,003","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,39,300,316,"   00  ",23,"8,304","8,304","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,136,"2,154","2,174","   00  ",116,"7,497","7,497","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,10,192,187,"   00  ",15,913,913,"   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,441,"2,389","2,443","   01  ",387,"7,810","7,810","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,202,"3,930","3,920","   00  ",212,"3,400","3,400","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,89,"1,862","1,650","   01  ",301,"6,594","6,594","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,608,608,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,971,971,"   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,213,198,166,"   01  ",245,71,71,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,453,75,,,528,70,70,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,0,0,,,0,0,,
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,42,152,141,"   01  ",53,185,185,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,0,0,,,0,0,,
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,130,523,472,"   01  ",181,293,293,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,163,698,619,"   01  ",242,"2,684","2,684","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,315,268,351,"   01  ",232,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
Y,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,144,0,,,144,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,701","8,758","5,068","   00  ","1,644","3,809","3,809","   02  "
,,,,,,,,,,,"3,747","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,4,68,66,"   01  ",6,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,018","6,441","5,068","   00  ","1,324",,,
,,,,,,,,,,,"1,067","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,184,622,695,"   01  ",111,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,495,"1,627","1,919","   01  ",203,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,0,,,0,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,66,80,,,146,585,585,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,139,119,155,"   01  ",103,93,93,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,583,847,"1,170","   01  ",260,"14,616","14,616","   02  "
,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,103,29,,,132,795,795,"   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,188,86,185,"   01  ",89,"1,061","1,061","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,707,707,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,150,150,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,553","2,553","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,414","1,414","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,164,164,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,233,233,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,29,29,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,62,62,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,147,147,"   02  "
,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,0,0,,,0,0,,
