"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jan 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,0,,
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,054","2,054","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,119,36,,,155,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,58,0,,,58,0,,
Y,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,550,163,363,"   01  ",350,"2,422","2,422","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"2,221","10,443","9,088","   00  ","1,892","35,318","35,318","   02  "
,,,,,,,,,,,"1,684","   01  ",,,,
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,630,"1,695","1,594","   00  ",441,"6,215","6,215","   02  "
,,,,,,,,,,,290,"   01  ",,,,
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,395,"2,212","2,063","   00  ",301,"13,415","13,415","   02  "
,,,,,,,,,,,243,"   01  ",,,,
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,89,0,,,89,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,63,574,484,"   00  ",65,"1,947","1,947","   02  "
,,,,,,,,,,,88,"   01  ",,,,
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,33,133,132,"   00  ",18,"1,642","1,642","   02  "
,,,,,,,,,,,16,"   01  ",,,,
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,181,"1,369","1,181","   00  ",154,"2,191","2,191","   02  "
,,,,,,,,,,,215,"   01  ",,,,
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,102,"1,597",669,"   00  ",100,"4,605","4,605","   02  "
,,,,,,,,,,,930,"   01  ",,,,
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,256,"2,272","1,923","   00  ",256,"4,579","4,579","   02  "
,,,,,,,,,,,349,"   01  ",,,,
Y,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,427,"5,831","2,489","   00  ",345,"16,565","16,565","   02  "
,,,,,,,,,,,"3,424","   01  ",,,,
Y,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,68,"1,287",559,"   00  ",59,"1,016","1,016","   02  "
,,,,,,,,,,,737,"   01  ",,,,
Y,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,154,"2,427","1,066","   00  ",110,"4,574","4,574","   02  "
,,,,,,,,,,,"1,405","   01  ",,,,
Y,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,345,"5,069","2,235","   00  ",231,"10,424","10,424","   02  "
,,,,,,,,,,,"2,948","   01  ",,,,
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,171,"1,777","1,479","   00  ",200,"6,047","6,047","   02  "
,,,,,,,,,,,269,"   01  ",,,,
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,171,"1,184","1,034","   00  ",133,"2,272","2,272","   02  "
,,,,,,,,,,,188,"   01  ",,,,
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,54,620,266,"   00  ",39,"8,759","8,759","   02  "
,,,,,,,,,,,369,"   01  ",,,,
Y,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,139,"2,983","1,288","   00  ",136,"11,485","11,485","   02  "
,,,,,,,,,,,"1,698","   01  ",,,,
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,7,237,196,"   00  ",10,"1,166","1,166","   02  "
,,,,,,,,,,,38,"   01  ",,,,
Y,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,337,"3,391","3,287","   01  ",441,"12,416","12,416","   02  "
Y,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,226,"4,445","1,927","   00  ",202,"2,616","2,616","   02  "
,,,,,,,,,,,"2,542","   01  ",,,,
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,65,686,662,"   01  ",89,963,963,"   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,570,570,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,211","1,211","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,293,275,355,"   01  ",213,102,102,"   02  "
Y,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,369,84,,,453,95,95,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,0,0,,,0,0,,
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,52,232,242,"   01  ",42,374,374,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,0,0,,,0,0,,
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,161,712,743,"   01  ",130,478,478,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,242,893,972,"   01  ",163,"6,506","6,506","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,251,405,341,"   01  ",315,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,206,91,153,"   01  ",144,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"2,572","13,161","14,032","   01  ","1,701","9,220","9,220","   02  "
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,7,113,116,"   01  ",4,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"2,107","9,781","10,870","   01  ","1,018",,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,177,931,924,"   01  ",184,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,281,"2,336","2,122","   01  ",495,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,0,,,0,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,136,93,163,"   01  ",66,441,441,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,278,188,327,"   01  ",139,162,162,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,406,"1,178","1,001","   01  ",583,"17,556","17,556","   02  "
,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,66,37,,,103,"1,395","1,395","   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,99,89,,,188,"1,420","1,420","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,901,901,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,0,,
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"3,308","3,308","   02  "
