"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jul 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,185,37,,,222,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,39,0,,,39,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,267,91,175,"   01  ",183,"2,165","2,165","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"2,013","8,947","9,078","   00  ","1,882","22,367","22,367","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,364,"1,581","1,460","   00  ",485,"4,933","4,933","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,444,"1,828","2,126","   00  ",146,"10,206","10,206","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,78,501,529,"   00  ",50,"2,274","2,274","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,36,748,724,"   00  ",60,"2,594","2,594","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,143,786,850,"   00  ",79,"2,014","2,014","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,52,660,670,"   00  ",42,"6,121","6,121","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,249,"1,690","1,770","   00  ",169,"4,197","4,197","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,296,"2,685","2,828","   00  ",153,"13,035","13,035","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,22,509,517,"   00  ",14,381,381,"   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,45,958,977,"   00  ",26,"1,502","1,502","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,83,"2,800","2,807","   00  ",76,"6,892","6,892","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,189,"1,117","1,194","   00  ",112,"5,468","5,468","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,97,570,610,"   00  ",57,"1,938","1,938","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,37,473,480,"   00  ",30,"13,889","13,889","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,90,"3,275","3,276","   00  ",89,"6,978","6,978","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,1,200,190,"   00  ",11,439,439,"   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,211,"2,457","2,540","   00  ",128,"4,660","4,660","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,255,"6,667","6,741","   00  ",181,"5,305","5,305","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,116,"1,366","1,411","   00  ",71,"14,815","14,815","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,368,368,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,315,315,"   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,90,202,,,292,11,11,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,292,81,,,373,69,69,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,49,204,223,"   01  ",30,"1,519","1,519","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,29,212,210,"   01  ",31,158,158,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,43,421,402,"   01  ",62,63,63,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,95,593,601,"   01  ",87,39,39,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,188,"1,276","1,277","   01  ",187,"1,929","1,929","   02  "
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,47,100,,,147,0,,
Y,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,045","12,474","7,282","   00  ","1,497","2,127","2,127","   02  "
,,,,,,,,,,,"4,740","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,7,107,110,"   01  ",4,0,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,429,"9,446","7,282","   00  ","1,191",0,,
,,,,,,,,,,,"1,402","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,65,797,808,"   01  ",54,0,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,544,"2,124","2,420","   01  ",248,0,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,4,23,26,"   01  ",1,1,1,"   02  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,141,80,167,"   01  ",54,115,115,"   02  "
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,12,66,56,"   00  ",22,0,,
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,64,321,277,"   00  ",108,0,,
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,264,680,715,"   00  ",229,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,121,30,,,151,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,201,754,521,"   01  ",434,"2,013","2,013","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,758,"2,776","2,869","   01  ",665,"7,407","7,407","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,681,"1,811","1,945","   01  ",547,"5,937","5,937","   02  "
Y,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,474,"1,059","1,056","   01  ",477,"1,457","1,457","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,203,22,,,225,79,79,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,416,84,353,"   01  ",147,159,159,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,200,436,450,"   01  ",186,"1,739","1,739","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,463,"1,117","1,076","   01  ",504,"3,587","3,587","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,169,364,378,"   01  ",155,953,953,"   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,0,112,64,"   01  ",48,354,354,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,212,289,181,"   01  ",320,"1,337","1,337","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,0,10,,,10,367,367,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,132,132,"   02  "
,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,844,844,"   02  "
,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,229,229,"   02  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
