"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jun 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,82,82,"   03  "
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,025","2,025","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,276,46,137,"   01  ",185,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,78,0,39,"   01  ",39,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,333,109,175,"   01  ",267,"1,191","1,191","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,638","7,873","7,498","   00  ","2,013","18,248","18,248","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,323,"1,224","1,183","   00  ",364,"3,680","3,680","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,226,"1,629","1,411","   00  ",444,"8,565","8,565","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,73,506,501,"   00  ",78,"1,900","1,900","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,10,131,105,"   00  ",36,"1,459","1,459","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,148,930,935,"   00  ",143,"1,474","1,474","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,22,548,518,"   00  ",52,"4,968","4,968","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,231,"1,624","1,606","   00  ",249,"3,611","3,611","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,169,"3,478","3,351","   00  ",296,"14,115","14,115","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,21,551,550,"   00  ",22,347,347,"   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,47,"1,136","1,138","   00  ",45,"2,949","2,949","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,88,"2,100","2,105","   00  ",83,"4,846","4,846","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,220,"1,228","1,259","   00  ",189,"4,442","4,442","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,100,632,635,"   00  ",97,"1,477","1,477","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,19,385,367,"   00  ",37,"9,294","9,294","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,88,"2,278","2,276","   00  ",90,"4,206","4,206","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,9,5,13,"   00  ",1,16,16,"   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,120,"2,612","2,521","   00  ",211,"5,983","5,983","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,179,"6,492","6,416","   00  ",255,"5,258","5,258","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,72,"1,436","1,392","   00  ",116,"10,754","10,754","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,547,547,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,202","1,202","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,286,153,349,"   01  ",90,15,15,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,232,60,,,292,45,45,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,86,291,328,"   01  ",49,"6,438","6,438","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,27,174,172,"   01  ",29,447,447,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,6,254,217,"   01  ",43,50,50,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,109,562,576,"   01  ",95,24,24,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,210,"1,109","1,131","   01  ",188,"7,005","7,005","   02  "
Y,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,179,0,,,179,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,118,94,165,"   01  ",47,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,638","10,615","7,253","   00  ","1,045","6,358","6,358","   02  "
,,,,,,,,,,,"3,955","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,4,108,105,"   01  ",7,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,155","7,941","7,253","   00  ",429,,,
,,,,,,,,,,,"1,414","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,165,715,815,"   01  ",65,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,314,"1,851","1,621","   01  ",544,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,3,56,55,"   01  ",4,24,24,"   02  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,62,79,,,141,41,41,"   02  "
Y,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
Y,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
Y,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
Y,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,147,0,,,147,108,108,"   02  "
Y,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,356,0,,,356,"17,508","17,508","   02  "
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,32,0,,,32,"1,392","1,392","   02  "
Y,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,113,0,,,113,"1,268","1,268","   02  "
Y,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
Y,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,730,730,"   02  "
Y,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,669,669,"   02  "
Y,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,636","2,636","   02  "
Y,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,460","1,460","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,202,202,"   02  "
Y,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,287,287,"   02  "
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,36,36,"   02  "
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,76,76,"   02  "
Y,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,181,181,"   02  "
