"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Mar 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,731,731,"   03  "
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,136","2,136","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,182,24,,,206,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,58,20,,,78,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,322,130,,,452,"2,323","2,323","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"2,031","9,853","9,528","   00  ","2,356","29,662","29,662","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,483,"1,544","1,581","   00  ",446,"6,376","6,376","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,340,"2,137","2,198","   00  ",279,"10,341","10,341","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,89,0,,,89,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,65,657,661,"   00  ",61,"2,847","2,847","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,34,230,234,"   00  ",30,"1,537","1,537","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,135,608,686,"   00  ",57,"1,346","1,346","   02  "
Y,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,98,"1,007","1,017","   00  ",88,"1,501","1,501","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,334,"2,437","2,544","   00  ",227,"4,763","4,763","   02  "
Y,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,275,"5,693","5,540","   00  ",428,"19,222","19,222","   02  "
Y,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,50,"1,249","1,282","   00  ",17,862,862,"   02  "
Y,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,95,"2,290","2,355","   00  ",30,"5,700","5,700","   02  "
Y,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,162,"4,578","4,679","   00  ",61,"8,884","8,884","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,269,"1,906","1,997","   00  ",178,"6,396","6,396","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,131,872,922,"   00  ",81,"2,282","2,282","   02  "
Y,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,23,276,275,"   00  ",24,"8,637","8,637","   02  "
Y,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,116,"2,791","2,870","   00  ",37,"8,087","8,087","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,15,144,143,"   00  ",16,"1,593","1,593","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,387,"2,944","3,171","   01  ",160,"5,005","5,005","   02  "
Y,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,212,"6,464","6,590","   00  ",86,"5,131","5,131","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,301,"2,214","2,395","   01  ",120,"12,545","12,545","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,398,398,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,342","1,342","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,245,309,358,"   01  ",196,36,36,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,528,82,354,"   01  ",256,74,74,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,0,0,,,0,0,,
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,53,245,241,"   01  ",57,248,248,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,0,13,10,"   01  ",3,1,1,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,181,699,718,"   01  ",162,489,489,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,242,"1,175","1,145","   01  ",272,"4,934","4,934","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,232,410,346,"   01  ",296,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,144,112,,,112,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,644","12,565","7,024","   00  ","3,034","4,441","4,441","   02  "
,,,,,,,,,,,"4,151","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,6,118,114,"   01  ",10,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,324","9,375","7,024","   00  ","2,393",,,
,,,,,,,,,,,"1,282","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,111,786,673,"   01  ",224,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,203,"2,286","2,082","   01  ",407,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,0,,,0,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,146,85,162,"   01  ",69,783,783,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,103,194,169,"   01  ",128,149,149,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,260,931,994,"   01  ",197,"18,977","18,977","   02  "
,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,132,32,,,164,"1,400","1,400","   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,89,65,,,154,"1,266","1,266","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,775,775,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,711,711,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,800","2,800","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,551","1,551","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,210,210,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,299,299,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,37,37,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,79,79,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,189,189,"   02  "
