"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," May 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,05,164066,"DUBOIS (BARNETT)",MILES,"    1  ",,,0,0,,,0,0,,
,Gas,7B,211352,"GRANBURY, N.E. (ATOKA)",LANGDON,"    2  ",,5422,4,0,,,4,0,,
,Gas,7B,212409,"GRANBURY, N.E. (ATOKA)","JOHN J. MILES, JR. GAS UNIT","    4  ",,,0,0,,,0,0,,
,Gas,7B,228695,"GRANBURY, N.E. (ATOKA)","LUCY UNIT","    2  ",,5699,12,0,,,12,178,178,"   03  "
,Gas,7B,228926,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM A","    2  ",,,0,0,,,0,0,,
,Gas,7B,229706,"GRANBURY, N.E. (ATOKA)",HAYWIRE,"    2  ",,5405,0,0,,,0,0,,
,Gas,7B,233611,"GRANBURY, N.E. (ATOKA)","MARSHALL, SAM","    2  ",,,0,0,,,0,"2,117","2,117","   03  "
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,231,45,,,276,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,78,0,,,78,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,399,117,183,"   01  ",333,"2,029","2,029","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"2,049","8,691","9,102","   00  ","1,638","20,432","20,432","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,308,"1,422","1,407","   00  ",323,"5,621","5,621","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,235,"1,703","1,712","   00  ",226,"9,971","9,971","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,45,534,506,"   00  ",73,"2,735","2,735","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,11,77,78,"   00  ",10,"1,607","1,607","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,86,"1,081","1,019","   00  ",148,"2,074","2,074","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,52,473,503,"   00  ",22,"4,529","4,529","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,182,"1,687","1,638","   00  ",231,"4,182","4,182","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,233,"3,827","3,891","   00  ",169,"21,983","21,983","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,20,643,642,"   00  ",21,420,420,"   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,34,"1,429","1,416","   00  ",47,"5,772","5,772","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,89,"2,655","2,656","   00  ",88,"6,534","6,534","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,128,"1,606","1,514","   00  ",220,"6,799","6,799","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,57,734,691,"   00  ",100,"2,089","2,089","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,28,401,410,"   00  ",19,"10,945","10,945","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,55,"2,646","2,613","   00  ",88,"6,303","6,303","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,10,124,125,"   00  ",9,575,575,"   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,112,"2,817","2,809","   00  ",120,"7,751","7,751","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,149,"5,380","5,350","   00  ",179,"4,916","4,916","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,77,"1,693","1,698","   00  ",72,"17,496","17,496","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,652,652,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,199","1,199","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,217,246,177,"   01  ",286,39,39,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,328,83,179,"   01  ",232,58,58,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,0,489,403,"   01  ",86,"1,593","1,593","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,60,155,188,"   01  ",27,23,23,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,14,33,41,"   01  ",6,3,3,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,149,618,658,"   01  ",109,35,35,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,304,"1,190","1,284","   01  ",210,"3,435","3,435","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,313,388,522,"   01  ",179,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,39,79,,,118,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,838","11,735","7,595","   00  ","1,638","3,547","3,547","   02  "
,,,,,,,,,,,"4,340","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,11,79,86,"   01  ",4,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,189","8,821","7,595","   00  ","1,155",,,
,,,,,,,,,,,"1,260","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,154,833,822,"   01  ",165,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,484,"2,002","2,172","   01  ",314,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,1,45,43,"   01  ",3,38,38,"   02  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,153,83,174,"   01  ",62,528,528,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,156,155,164,"   01  ",147,134,134,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,185,996,825,"   01  ",356,"17,945","17,945","   02  "
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,192,0,155,"   01  ",32,"1,313","1,313","   02  "
,,,,,,,,,,,5,"   05  ",,,,
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,46,67,,,113,"1,188","1,188","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,823,823,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,755,755,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,973","2,973","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,647","1,647","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,191,191,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,271,271,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,34,34,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,72,72,"   02  "
