"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Nov 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,166,38,,,204,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,18,0,,,18,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,165,85,,,250,447,447,"   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,452","6,098","6,499","   00  ","1,051","18,593","18,593","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,193,866,869,"   00  ",190,"4,149","4,149","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,163,940,991,"   00  ",112,"8,355","8,355","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,28,296,299,"   00  ",25,"1,923","1,923","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,13,102,103,"   00  ",12,"1,339","1,339","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,58,832,821,"   00  ",69,"2,499","2,499","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,30,374,371,"   00  ",33,"3,553","3,553","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,141,"1,683","1,684","   00  ",140,"4,274","4,274","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,191,"2,498","2,482","   00  ",207,"13,471","13,471","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,24,402,404,"   00  ",22,"1,796","1,796","   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,37,590,595,"   00  ",32,"2,890","2,890","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,61,778,797,"   00  ",42,"5,417","5,417","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,82,"1,411","1,375","   00  ",118,"6,296","6,296","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,42,376,387,"   00  ",31,"1,455","1,455","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,25,11,35,"   00  ",1,116,116,"   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,173,"2,803","2,826","   00  ",150,"5,046","5,046","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,18,989,935,"   00  ",72,"1,547","1,547","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,132,"2,200","2,181","   00  ",151,"2,958","2,958","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,230,"3,606","3,643","   00  ",193,"3,547","3,547","   02  "
,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,81,"1,821","1,777","   00  ",125,"12,246","12,246","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
Y,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,350,350,"   02  "
Y,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,171","1,171","   02  "
Y,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,343,157,186,"   01  ",314,24,24,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,264,64,,,328,33,33,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
Y,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,9,82,76,"   01  ",15,"4,295","4,295","   02  "
Y,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,17,135,127,"   01  ",25,405,405,"   02  "
Y,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,4,0,4,"   01  ",0,0,,
Y,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,53,638,571,"   01  ",120,28,28,"   02  "
Y,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,171,"1,179","1,129","   01  ",221,"8,406","8,406","   02  "
Y,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,276,0,,,179,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
Y,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,87,89,,,176,0,,
Y,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,803","11,699","7,127","   00  ","2,121","4,990","4,990","   02  "
,,,,,,,,,,,"4,254","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,8,120,119,"   01  ",9,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,328","8,985","7,127","   00  ","1,551",,,
,,,,,,,,,,,"1,635","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,134,845,869,"   01  ",110,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,333,"1,749","1,631","   01  ",451,,,
Y,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,1,0,1,"   01  ",0,1,1,"   02  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,126,78,152,"   01  ",52,134,134,"   02  "
Y,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
Y,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
Y,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,N/A,0,,,0,0,,
Y,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
Y,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,285,0,,,147,0,,
Y,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,347,0,,,356,0,,
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,147,0,,,32,0,,
Y,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,75,0,,,113,0,,
Y,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,N/A,0,,,0,0,,
Y,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,N/A,0,,,0,0,,
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,N/A,0,,,0,0,,
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,N/A,0,,,0,0,,
Y,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,N/A,0,,,0,0,,
Y,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,N/A,0,,,0,0,,
Y,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,N/A,0,,,0,0,,
Y,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,N/A,0,,,0,0,,
Y,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,N/A,0,,,0,0,,
Y,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,N/A,0,,,0,0,,
Y,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,N/A,0,,,0,0,,
Y,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,N/A,0,,,0,0,,
Y,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,N/A,0,,,0,0,,
Y,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,N/A,0,,,0,0,,
