"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Oct 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,140,26,,,166,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,18,0,,,18,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,261,87,183,"   01  ",165,"1,699","1,699","   02  "
Y,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,721","7,857","8,126","   00  ","1,452","19,723","19,723","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,507,870,"1,184","   00  ",193,"3,832","3,832","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,137,"1,238","1,212","   00  ",163,"8,330","8,330","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
Y,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,39,351,362,"   00  ",28,"1,803","1,803","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,23,96,106,"   00  ",13,"1,335","1,335","   02  "
Y,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,78,743,763,"   00  ",58,"1,990","1,990","   02  "
Y,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,13,403,386,"   00  ",30,"4,195","4,195","   02  "
Y,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,93,"1,799","1,751","   00  ",141,"4,137","4,137","   02  "
Y,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,236,"2,628","2,673","   00  ",191,"16,281","16,281","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,24,406,406,"   00  ",24,"1,741","1,741","   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,41,636,640,"   00  ",37,"4,195","4,195","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,70,"1,038","1,047","   00  ",61,"4,889","4,889","   02  "
Y,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,104,"1,044","1,066","   00  ",82,"4,864","4,864","   02  "
Y,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,58,533,549,"   00  ",42,"1,852","1,852","   02  "
Y,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,30,336,341,"   00  ",25,"5,938","5,938","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,187,"2,947","2,961","   00  ",173,"7,523","7,523","   02  "
Y,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,12,207,201,"   00  ",18,"2,408","2,408","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,121,"2,327","2,316","   00  ",132,"2,754","2,742","   02  "
,,,,,,,,,,,,,,,12,"   10  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,274,"3,931","3,975","   00  ",230,"3,497","3,497","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,87,"1,434","1,440","   00  ",81,"11,145","11,145","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,468,468,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,213","1,213","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,290,223,170,"   01  ",343,22,22,"   02  "
,,,,,,,,,,,,,,,10,"   10  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,542,82,360,"   01  ",264,36,36,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
Y,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,23,78,92,"   01  ",9,"5,792","5,792","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,15,145,143,"   01  ",17,550,550,"   02  "
,,,,,,,,,,,,,,,69,"   10  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,26,35,57,"   01  ",4,5,5,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,44,449,440,"   01  ",53,123,123,"   02  "
,,,,,,,,,,,,,,,12,"   10  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,108,"1,455","1,392","   01  ",171,"9,664","9,664","   02  "
,,,,,,,,,,,,,,,961,"   10  "
Y,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,293,0,,,179,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,158,99,170,"   01  ",87,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,250","12,304","7,203","   00  ","1,803","7,463","7,463","   02  "
,,,,,,,,,,,"4,536","   01  ",,,"1,003","   10  "
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,6,126,124,"   01  ",8,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,910,"9,424","7,203","   00  ","1,328",,,
,,,,,,,,,,,"1,798","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,158,842,859,"   01  ",134,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,176,"1,912","1,755","   01  ",333,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,1,14,14,"   01  ",1,1,1,"   02  "
,,,,,,,,,,,,,,,4,"   10  "
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,6,6,"   02  "
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,43,83,,,126,23,23,"   02  "
Y,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
Y,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
Y,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,N/A,0,,,0,0,,
Y,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
Y,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,292,0,,,147,0,,
Y,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,257,0,,,356,0,,
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,122,0,,,32,0,,
Y,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,180,0,,,113,0,,
Y,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,N/A,0,,,0,0,,
Y,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,N/A,0,,,0,0,,
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,N/A,0,,,0,0,,
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,N/A,0,,,0,0,,
Y,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,N/A,0,,,0,0,,
Y,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,N/A,0,,,0,0,,
Y,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,N/A,0,,,0,0,,
Y,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,N/A,0,,,0,0,,
Y,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,N/A,0,,,0,0,,
Y,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,N/A,0,,,0,0,,
Y,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,N/A,0,,,0,0,,
