"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Sept 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,32907,"ARMER (TUBB)","MCCAMEY, G. B. ""A"" (NCT-B)",,,7024,260,23,143,"   01  ",140,0,,
,Oil,08,20550,"ARMER (6350)","MCCAMEY, G. B., -A- /NCT-A/",,,7024,39,0,21,"   01  ",18,0,,
,Oil,08,45314,"ARMER (6350)","RAYDEN MCCAMEY",,,,272,161,172,"   01  ",261,"1,941","1,941","   02  "
,Oil,08,48393,"ARMER (6350)",LANDLUBBER,,,8026,"1,932","7,137","7,348","   00  ","1,721","21,352","21,352","   02  "
,Oil,08,49425,"ARMER (6350)","6 POUNDER NE",,,8026,394,"1,569","1,456","   00  ",507,"3,346","3,346","   02  "
,Oil,08,50748,"ARMER (6350)","LANDLUBBER N",,,8156,108,"1,306","1,277","   00  ",137,"8,609","8,609","   02  "
,Oil,08,51146,"ARMER (6350)",GALLEON,,,,78,0,,,78,0,,
,Oil,08,51157,"ARMER (6350)","JEAN LAFITTE NE",,,8155,56,0,,,56,0,,
,Oil,08,51222,"ARMER (6350)","YELLOW JACK NWSW",,,8539,70,410,441,"   00  ",39,"1,820","1,820","   02  "
,Oil,08,51255,"ARMER (6350)","LANDLUBBER NE",,,8156,70,221,268,"   00  ",23,"1,650","1,650","   02  "
,Oil,08,51267,"ARMER (6350)","YELLOW JACK SENW",,,8539,123,822,867,"   00  ",78,"2,065","2,065","   02  "
,Oil,08,51373,"ARMER (6350)","6 POUNDER NWNE",,,8250,43,124,154,"   00  ",13,"4,602","4,602","   02  "
,Oil,08,51440,"ARMER (6350)","YELLOW JACK E2SW",,,8539,225,981,"1,113","   00  ",93,"3,049","3,049","   02  "
,Oil,08,51505,"ARMER (6350)","6 POUNDER SE",,,8250,282,"2,446","2,492","   00  ",236,"15,846","15,846","   02  "
,Oil,08,51511,"ARMER (6350)","6 POUNDER NW",,,8250,19,418,413,"   00  ",24,"1,869","1,869","   02  "
,Oil,08,51558,"ARMER (6350)","6 POUNDER SW",,,8250,40,728,727,"   00  ",41,"3,935","3,935","   02  "
,Oil,08,52339,"ARMER (6350)","6 POUNDER NESW",,,8250,130,"1,248","1,308","   00  ",70,"5,463","5,463","   02  "
,Oil,08,52471,"ARMER (6350)","YELLOW JACK NW",,,8539,166,"1,096","1,158","   00  ",104,"5,498","5,498","   02  "
,Oil,08,52831,"ARMER (6350)","YELLOW JACK SWSW",,,8539,86,607,635,"   00  ",58,"2,045","2,045","   02  "
,Oil,08,52899,"ARMER (6350)","6 POUNDER SENE",,,8250,40,291,301,"   00  ",30,"6,946","6,946","   02  "
,Oil,08,53087,"ARMER (6350)","6 POUNDER NWSW",,,8250,144,"3,320","3,277","   00  ",187,"8,363","8,363","   02  "
,Oil,08,53148,"ARMER (6350)","LANDLUBBER 94",,,8026,25,152,165,"   00  ",12,"1,545","1,545","   02  "
,Oil,08,53161,"ARMER (6350)","STEDE BONNET",,,9194,86,"1,878","1,843","   00  ",121,"3,437","3,437","   02  "
,Oil,08,53167,"ARMER (6350)","6 POUNDER SWNW",,,8250,334,"4,863","4,923","   00  ",274,"4,434","4,434","   02  "
Y,Oil,08,53168,"ARMER (6350)","STEDE BONNET NW",,,9194,81,"1,355","1,349","   00  ",87,"14,098","14,098","   02  "
,Oil,08,20283,"BLOCK B-21 (TUBB)","WADDELL, W. N., ETAL",,,4030,0,0,,,0,0,,
,Gas,08,019634,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  565  ",,,0,0,,,0,0,,
,Gas,08,034093,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  417  ",,,0,0,,,0,0,,
,Gas,08,035607,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  889  ",,,0,0,,,0,441,441,"   02  "
,Gas,08,035665,"BLOCK 27 (MCKEE)","WADDELL, W. N., ET AL","  896  ",,,0,0,,,0,"1,147","1,147","   02  "
,Oil,08,21511,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805,271,192,173,"   01  ",290,22,22,"   02  "
,Oil,08,39805,"BLOCK 31, NW. (PENN UPPER)","ROADRUNNER 1",,,,459,83,,,542,36,36,"   02  "
,Oil,08,09908,"C-BAR (SAN ANDRES)","WADDELL, W. N., ETAL",,,4405,0,0,,,0,0,,
,Oil,08,00690,"CORDONA LAKE","WADDELL, W.N. ET AL TR. -I-",,,,31,265,273,"   01  ",23,"4,696","4,696","   02  "
,Oil,08,15557,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397,24,168,177,"   01  ",15,363,363,"   02  "
,Oil,08,20062,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803,35,295,304,"   01  ",26,134,134,"   02  "
,Oil,08,19893,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,89,501,546,"   01  ",44,138,138,"   02  "
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,249,"1,236","1,377","   01  ",108,"7,183","7,183","   02  "
Y,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,162,0,,,0,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,76,82,,,158,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,570","12,298","7,114","   00  ","1,250","5,116","5,116","   02  "
,,,,,,,,,,,"5,504","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,9,125,128,"   01  ",6,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,923,"9,254","7,114","   00  ",910,,,
,,,,,,,,,,,"2,153","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,129,899,870,"   01  ",158,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,509,"2,020","2,353","   01  ",176,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,20,19,"   01  ",1,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,7,7,"   02  "
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,145,76,178,"   01  ",43,27,27,"   02  "
Y,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,332,0,,,147,0,,
Y,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,285,0,,,54,0,,
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,112,0,,,32,0,,
Y,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,123,0,,,113,0,,
Y,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,N/A,0,,,0,0,,
Y,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,N/A,0,,,0,0,,
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,N/A,0,,,0,0,,
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,N/A,0,,,0,0,,
Y,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,N/A,0,,,0,0,,
Y,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,N/A,0,,,0,0,,
Y,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,N/A,0,,,0,0,,
Y,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,N/A,0,,,0,0,,
Y,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,N/A,0,,,0,0,,
Y,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,N/A,0,,,0,0,,
Y,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,N/A,0,,,0,0,,
Y,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,N/A,0,,,0,0,,
Y,Gas,08,128948,"KERMIT (YATES)","WALTON, J. B.","  330  ",,,N/A,0,,,0,0,,
Y,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,N/A,0,,,0,0,,
Y,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,N/A,0,,,0,0,,
Y,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,N/A,0,,,0,0,,
Y,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,N/A,0,,,0,0,,
Y,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,N/A,0,,,0,0,,
Y,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,N/A,0,,,0,0,,
Y,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,N/A,0,,,0,0,,
