API/UWI,Well Count,Operator Alias (Legacy),Well/Lease Name,Well Number,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,Measured Depth (TD),Spud Date,First Prod Date,Last Prod Date,Months Produced,Cum Gas,Daily Gas,Cum Oil,Daily Oil,Latest Oil,Latest Gas,Cum Water,Cum BOE,DI Subplay,First Month Oil,First Month Gas,First 6 Oil,DI Basin,First 6 Gas,First 6 BOE,First 6 Water,DI Play,Prac IP Oil Daily,Prac IP BOE,Prac IP Gas Daily,Prac IP CFGED,Latest Water,Prior 12 Oil,Prior 12 Gas,Last Test Date,Prior 12 Water,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Max Active Wells,Gas Gatherer,Oil Gatherer,Lease Number,Gross Perforated Interval,True Vertical Depth,Field,State,District,AAPG Geologic Province,Section,Country,Township,Range,Surface Latitude (WGS84),Abstract,Surface Longitude (WGS84),Block,OCS Area,PGC Area,Survey,Entity ID,EUR Calc Date,EUR Oil (BE),EUR Oil Delta (BE),EUR Oil Delta Percent (BE),EUR Gas (BE),EUR Gas Delta (BE),EUR Gas Delta Percent (BE),Oil RRR (BE),Gas RRR (BE),EUR Oil (Full),EUR Gas (Full),Oil RRR (Full),Operator (Reported),Gas RRR (Full),Last 12 Oil,Last 12 Gas,Last 12 Water,First Inj Date,Last Inj Date,Last Inj Gas  (MCF),Last Inj Water (BBL),Last Inj Other (BBL),Cum Inj Gas (MCF),Cum Inj Water (BBL),Cum Inj Other (BBL),Last Inj Product Types,Inj Product Types,Last Inj Pressure (PSI),EUR Oil Months (BE),EUR Oil Proxy (Y/N),EUR Oil B-Factor (BE),EUR Gas Months (BE),EUR Gas Proxy (Y/N),EUR Gas B-Factor (BE),EUR Oil Months (Full),EUR Oil B-Factor (Full),EUR Gas Months (Full),EUR Gas B-Factor (Full),Other No.
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),ELLENBURGER,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.100000,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56425,,,"SAND HILLS, EAST",TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997723,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
0,1,"BLACKBEARD OPERATING, LLC",LANDLUBBER,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.000000,,,"DCP OPERATING COMPANY, LP",EASTEX CRUDE COMPANY,56435,,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997722,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR C,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.000000,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56424,,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997721,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),TUBB,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.000000,,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",56423,,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997720,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
0,1,"BLACKBEARD OPERATING, LLC",WADDELL TR 1,,CRANE (TX),ELLENBURGER,OIL,INACTIVE,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.500000,,,,,56440,,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130997717,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
42103367140000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER SWNW,23,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5458.00000,2021-01-28,2021-03-01,2021-10-01,8,212760.0000,868,66359.0000,271,4644,25178.0000,42174.0000,101819.0000,,15456,48670.0000,56772.0000,CENTRAL BASIN PLATFORM,162120.0000,83792.0000,34231.0000,CENTRAL BASIN PLATFORM,417.0000,694.0000,1659.0000,4162333.0000,3848,,,2021-03-09,,,,3970.00,3206.1970,3210.00,311.8960,251.6000,184.4000,49756.0000,2,15456.0000,1,23568.0000,1,141.0000,1,3940.00000,4870.00000,,37.600000,2021-03-05,1,TARGA MIDSTREAM SERVICES LLC,"WEST TEXAS CRUDE TRANSPORT, LLC",56320,930.00,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,31.5426096,,-102.7177600,,,P-440,,130994046,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,66359.0000,212760.0000,42174.0000,,,,,,,,,,,,,,,,,,,,,,8250
42103367600000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER SE,29,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5431.00000,2021-02-01,2021-03-01,2021-10-01,8,90178.0000,368,6892.0000,28,1139,15318.0000,36758.0000,21922.0000,,727,3897.0000,5348.0000,CENTRAL BASIN PLATFORM,67935.0000,16671.0000,28523.0000,CENTRAL BASIN PLATFORM,40.0000,114.0000,446.0000,684633.0000,6075,,,2021-03-26,,,,11230.00,13084.4460,13080.00,76.4270,89.0000,74.4000,18967.0000,3,1475.0000,3,4636.0000,3,28.0000,3,4045.00000,4975.00000,,42.000000,2021-03-11,1,TARGA MIDSTREAM SERVICES LLC,"WEST TEXAS CRUDE TRANSPORT, LLC",56262,930.00,,SAND HILLS,TX,08,PERMIAN BASIN,4,USA,,,31.5408930,1111,-102.7084876,B21,,P-440,"PSL / MC KNIGHT, M B",130992244,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,6892.0000,90178.0000,36758.0000,,,,,,,,,,,,,,,,,,,,,,8250
0,1,"BLACKBEARD OPERATING, LLC",,7SD,CRANE (TX),ELLENBURGER,SWD,INACTIVE,V,7500.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.00000,7500.00000,,,,,,,000124935,1800.00,,SAND HILLS,TX,08,PERMIAN BASIN,,USA,,,,,,,,P-440,,130987581,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
42103366630000,1,"BLACKBEARD OPERATING, LLC",LANDLUBBER,95,CRANE (TX),WICHITA-ALBANY,OIL,ACTIVE,V,6617.00000,2019-08-16,2020-11-01,2021-08-01,10,60149.0000,198,4476.0000,15,190,4436.0000,52714.0000,14501.0000,,267,3780.0000,3421.0000,CENTRAL BASIN PLATFORM,44276.0000,10800.0000,38178.0000,CENTRAL BASIN PLATFORM,24.0000,78.0000,325.0000,466645.0000,2618,,,2021-01-15,,,,13790.00,13438.1140,13440.00,74.4150,72.5000,42.8000,10080.0000,2,746.0000,3,2411.0000,2,14.0000,2,5300.00000,5590.00000,,35.100000,2019-09-13,1,TARGA MIDSTREAM SERVICES LLC,EASTEX CRUDE COMPANY,55909,290.00,,RUNNING W,TX,08,PERMIAN BASIN,26,USA,,,31.5558703,1107,-102.7100015,B17,,P-440,"O`NEAL, M C",130974652,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,4476.0000,60149.0000,52714.0000,,,,,,,,,,,,,,,,,,,,,,8026
42103306980000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR C,,CRANE (TX),MCKNIGHT,OIL,INACTIVE,D,5011.00000,1995-08-15,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-10-10,,,,,,,,,,,,,,,,,,3076.00000,3701.00000,,35.200000,1961-09-20,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",55826,625.00,,SAND HILLS,TX,08,PERMIAN BASIN,21,USA,,,31.5277380,1268,-102.5945839,B26,,P-440,PSL,130969812,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0
